OAF139 AIRFOIL
1.0000000 0.0049200
0.9990130 0.0048780
0.9960570 0.0047580
0.9911440 0.0045780
0.9842920 0.0043650
0.9755280 0.0041540
0.9648880 0.0039860
0.9524140 0.0039010
0.9381530 0.0039400
0.9221640 0.0041380
0.9045080 0.0045240
0.8852570 0.0051220
0.8644840 0.0059460
0.8422740 0.0070050
0.8187120 0.0083000
0.7938930 0.0098290
0.7679130 0.0115880
0.7408770 0.0135700
0.7128900 0.0157690
0.6840620 0.0181750
0.6545080 0.0207810
0.6243450 0.0235750
0.5936910 0.0265420
0.5626670 0.0296580
0.5313950 0.0328930
0.5000000 0.0362080
0.4686050 0.0395500
0.4373330 0.0428590
0.4063090 0.0460610
0.3756550 0.0490790
0.3454920 0.0518300
0.3159380 0.0542310
0.2871100 0.0562060
0.2591230 0.0576860
0.2320870 0.0586210
0.2061070 0.0589760
0.1812880 0.0587940
0.1577260 0.0581040
0.1355160 0.0567240
0.1147430 0.0547010
0.0954920 0.0521160
0.0778360 0.0489770
0.0618470 0.0452640
0.0475860 0.0409900
0.0351120 0.0362150
0.0244720 0.0310280
0.0157080 0.0255040
0.0088560 0.0196740
0.0039430 0.0135150
0.0009870 0.0069740
0.0000000 0.0000000
0.0009870 -.0062800
0.0039430 -.0129290
0.0088560 -.0198060
0.0157080 -.0267190
0.0244720 -.0334750
0.0351120 -.0399250
0.0475860 -.0459840
0.0618470 -.0516240
0.0778360 -.0568500
0.0954920 -.0616510
0.1147430 -.0659750
0.1355160 -.0697270
0.1577260 -.0728090
0.1812880 -.0751830
0.2061070 -.0769130
0.2320870 -.0780940
0.2591230 -.0785610
0.2871100 -.0782850
0.3159380 -.0774410
0.3454920 -.0760120
0.3756550 -.0740480
0.4063090 -.0716090
0.4373330 -.0687660
0.4686050 -.0655950
0.5000000 -.0621690
0.5313950 -.0585600
0.5626670 -.0548320
0.5936910 -.0510420
0.6243450 -.0472380
0.6545080 -.0434590
0.6840620 -.0397410
0.7128900 -.0361120
0.7408770 -.0325980
0.7679130 -.0292240
0.7938930 -.0260110
0.8187120 -.0229840
0.8422740 -.0201650
0.8644840 -.0175730
0.8852570 -.0152250
0.9045080 -.0131340
0.9221640 -.0113070
0.9381530 -.0097430
0.9524140 -.0084340
0.9648880 -.0073660
0.9755280 -.0065190
0.9842920 -.0058720
0.9911440 -.0054000
0.9960570 -.0050810
0.9990130 -.0048970
1.0000000 -.0048370
