20-32C AIRFOIL
1.000000 0.001600
0.950000 0.012400
0.900000 0.022900
0.800000 0.042800
0.700000 0.061000
0.600000 0.077100
0.500000 0.090500
0.400000 0.100200
0.300000 0.104800
0.250000 0.104400
0.200000 0.101300
0.150000 0.093400
0.100000 0.078000
0.075000 0.066400
0.050000 0.051300
0.025000 0.031700
0.012500 0.019300
0.000000 0.000000
0.012500 -0.005000
0.025000 -0.004200
0.050000 -0.001000
0.075000 0.002800
0.100000 0.006800
0.150000 0.014500
0.200000 0.021700
0.250000 0.028200
0.300000 0.033300
0.400000 0.038500
0.500000 0.038600
0.600000 0.035000
0.700000 0.028600
0.800000 0.020200
0.900000 0.010000
0.950000 0.004400
1.000000 -0.001600
