 E182 (8.47%)
   1.00000  0.00000
   0.99676 -0.00003
   0.98709 -0.00005
   0.97104  0.00018
   0.94881  0.00098
   0.92084  0.00268
   0.88780  0.00541
   0.85036  0.00913
   0.80913  0.01374
   0.76477  0.01911
   0.71797  0.02510
   0.66943  0.03148
   0.61985  0.03799
   0.56996  0.04421
   0.52016  0.04967
   0.47080  0.05408
   0.42219  0.05723
   0.37464  0.05902
   0.32838  0.05937
   0.28363  0.05843
   0.24083  0.05643
   0.20042  0.05348
   0.16285  0.04968
   0.12850  0.04512
   0.09771  0.03989
   0.07078  0.03409
   0.04796  0.02784
   0.02943  0.02127
   0.01529  0.01456
   0.00560  0.00802
   0.00048  0.00216
   0.00095 -0.00275
   0.00718 -0.00727
   0.01852 -0.01158
   0.03492 -0.01542
   0.05625 -0.01866
   0.08241 -0.02127
   0.11318 -0.02327
   0.14828 -0.02468
   0.18735 -0.02554
   0.23001 -0.02590
   0.27579 -0.02582
   0.32419 -0.02536
   0.37467 -0.02457
   0.42666 -0.02351
   0.47956 -0.02225
   0.53275 -0.02081
   0.58563 -0.01924
   0.63758 -0.01757
   0.68800 -0.01585
   0.73631 -0.01409
   0.78195 -0.01233
   0.82438 -0.01058
   0.86311 -0.00888
   0.89769 -0.00723
   0.92769 -0.00564
   0.95276 -0.00407
   0.97272 -0.00249
   0.98752 -0.00109
   0.99681 -0.00025
   1.00000  0.00000
