  S8035 for RC aerobatic  14% thick
       1.00000     0.00000
       0.99899     0.00005
       0.99604     0.00033
       0.99135     0.00097
       0.98510     0.00198
       0.97745     0.00329
       0.96848     0.00476
       0.95817     0.00629
       0.94646     0.00786
       0.93335     0.00955
       0.91891     0.01137
       0.90320     0.01332
       0.88626     0.01543
       0.86817     0.01770
       0.84901     0.02015
       0.82890     0.02276
       0.80791     0.02550
       0.78613     0.02833
       0.76361     0.03123
       0.74042     0.03418
       0.71664     0.03717
       0.69236     0.04015
       0.66764     0.04310
       0.64253     0.04601
       0.61713     0.04886
       0.59152     0.05161
       0.56575     0.05423
       0.53988     0.05671
       0.51400     0.05905
       0.48818     0.06120
       0.46248     0.06315
       0.43694     0.06488
       0.41165     0.06640
       0.38669     0.06767
       0.36210     0.06867
       0.33792     0.06939
       0.31423     0.06985
       0.29111     0.07002
       0.26858     0.06986
       0.24668     0.06940
       0.22548     0.06865
       0.20504     0.06758
       0.18539     0.06617
       0.16655     0.06445
       0.14856     0.06243
       0.13150     0.06012
       0.11537     0.05748
       0.10018     0.05456
       0.08598     0.05138
       0.07283     0.04794
       0.06072     0.04423
       0.04964     0.04028
       0.03961     0.03615
       0.03071     0.03186
       0.02292     0.02739
       0.01620     0.02279
       0.01057     0.01814
       0.00613     0.01352
       0.00288     0.00888
       0.00077     0.00428
       0.00000     0.00000
       0.00077    -0.00428
       0.00288    -0.00888
       0.00613    -0.01352
       0.01057    -0.01814
       0.01620    -0.02279
       0.02292    -0.02739
       0.03071    -0.03186
       0.03961    -0.03615
       0.04964    -0.04028
       0.06072    -0.04423
       0.07283    -0.04794
       0.08598    -0.05138
       0.10018    -0.05456
       0.11537    -0.05748
       0.13150    -0.06012
       0.14856    -0.06243
       0.16655    -0.06445
       0.18539    -0.06617
       0.20504    -0.06758
       0.22548    -0.06865
       0.24668    -0.06940
       0.26858    -0.06986
       0.29111    -0.07002
       0.31423    -0.06985
       0.33792    -0.06939
       0.36210    -0.06867
       0.38669    -0.06767
       0.41165    -0.06640
       0.43694    -0.06488
       0.46248    -0.06315
       0.48818    -0.06120
       0.51400    -0.05905
       0.53988    -0.05671
       0.56575    -0.05423
       0.59152    -0.05161
       0.61713    -0.04886
       0.64253    -0.04601
       0.66764    -0.04310
       0.69236    -0.04015
       0.71664    -0.03717
       0.74042    -0.03418
       0.76361    -0.03123
       0.78613    -0.02833
       0.80791    -0.02550
       0.82890    -0.02276
       0.84901    -0.02015
       0.86817    -0.01770
       0.88626    -0.01543
       0.90320    -0.01332
       0.91891    -0.01137
       0.93335    -0.00955
       0.94646    -0.00786
       0.95817    -0.00629
       0.96848    -0.00476
       0.97745    -0.00329
       0.98510    -0.00198
       0.99135    -0.00097
       0.99604    -0.00033
       0.99899    -0.00005
       1.00000     0.00000
