E222  (10.17%)               
   1.00000  0.00000
   0.99669  0.00071
   0.98722  0.00291
   0.97241  0.00645
   0.95270  0.01078
   0.92812  0.01560
   0.89889  0.02092
   0.86547  0.02666
   0.82830  0.03269
   0.78784  0.03883
   0.74458  0.04492
   0.69901  0.05079
   0.65162  0.05630
   0.60292  0.06127
   0.55342  0.06558
   0.50361  0.06908
   0.45399  0.07167
   0.40503  0.07326
   0.35719  0.07378
   0.31091  0.07319
   0.26662  0.07147
   0.22471  0.06864
   0.18555  0.06473
   0.14947  0.05981
   0.11678  0.05395
   0.08774  0.04728
   0.06258  0.03994
   0.04149  0.03210
   0.02461  0.02396
   0.01203  0.01578
   0.00382  0.00792
   0.00007  0.00100
   0.00199 -0.00470
   0.00990 -0.00993
   0.02291 -0.01499
   0.04083 -0.01953
   0.06351 -0.02340
   0.09078 -0.02648
   0.12243 -0.02872
   0.15821 -0.03010
   0.19779 -0.03064
   0.24083 -0.03035
   0.28690 -0.02932
   0.33557 -0.02760
   0.38634 -0.02531
   0.43867 -0.02254
   0.49201 -0.01942
   0.54578 -0.01608
   0.59935 -0.01266
   0.65212 -0.00928
   0.70344 -0.00609
   0.75268 -0.00320
   0.79920 -0.00075
   0.84238  0.00118
   0.88157  0.00249
   0.91618  0.00313
   0.94560  0.00306
   0.96916  0.00234
   0.98625  0.00128
   0.99656  0.00036
   1.00000  0.00000
