EH 2.5/10
  1.00000  0.00000
  0.99000  0.00084
  0.98000  0.00169
  0.97000  0.00256
  0.95000  0.00432
  0.92500  0.00663
  0.90000  0.00905
  0.87500  0.01161
  0.85000  0.01430
  0.82500  0.01712
  0.80000  0.02005
  0.77500  0.02306
  0.75000  0.02613
  0.72500  0.02926
  0.70000  0.03245
  0.67500  0.03568
  0.65000  0.03894
  0.60000  0.04548
  0.55000  0.05190
  0.50000  0.05804
  0.45000  0.06365
  0.40000  0.06847
  0.35000  0.07216
  0.30000  0.07430
  0.27500  0.07465
  0.25000  0.07442
  0.22500  0.07353
  0.20000  0.07189
  0.17500  0.06940
  0.15000  0.06592
  0.12500  0.06130
  0.10000  0.05534
  0.07500  0.04773
  0.05000  0.03795
  0.03500  0.03064
  0.02500  0.02486
  0.02000  0.02158
  0.01500  0.01797
  0.01250  0.01602
  0.01000  0.01396
  0.00750  0.01171
  0.00500  0.00916
  0.00400  0.00901
  0.00300  0.00676
  0.00250  0.00609
  0.00200  0.00538
  0.00150  0.00461
  0.00100  0.00373
  0.00050  0.00263
  0.00000  0.00032
  0.00050 -0.00187
  0.00100 -0.00288
  0.00150 -0.00365
  0.00200 -0.00430
  0.00250 -0.00487
  0.00300 -0.00538
  0.00400 -0.00624
  0.00500 -0.00696
  0.00750 -0.00835
  0.01000 -0.00939
  0.01250 -0.01030
  0.01500 -0.01115
  0.02000 -0.01265
  0.02500 -0.01391
  0.03500 -0.01580
  0.05000 -0.01769
  0.07500 -0.01969
  0.10000 -0.02089
  0.12500 -0.02173
  0.15000 -0.02241
  0.17500 -0.02300
  0.20000 -0.02354
  0.22500 -0.02405
  0.25000 -0.02456
  0.27500 -0.02510
  0.30000 -0.02564
  0.35000 -0.02670
  0.40000 -0.02760
  0.45000 -0.02823
  0.50000 -0.02846
  0.55000 -0.02817
  0.60000 -0.02727
  0.65000 -0.02571
  0.67500 -0.02468
  0.70000 -0.02348
  0.72000 -0.02212
  0.75000 -0.02058
  0.77500 -0.01888
  0.80000 -0.01702
  0.82500 -0.01503
  0.85000 -0.01297
  0.87500 -0.01087
  0.90000 -0.00874
  0.92500 -0.00658
  0.95000 -0.00440
  0.97000 -0.00264
  0.98000 -0.00176
  0.99000 -0.00088
  1.00000  0.00000
