 STRAND AIRFOIL
1.0000 0.0000
0.9540 0.0031
0.8949 0.0082
0.7901 0.0203
0.6978 0.0341
0.5981 0.0524
0.5186 0.0690
0.4395 0.0868
0.4100 0.0943
0.3805 0.1018
0.3214 0.1160
0.2607 0.1167
0.2003 0.1093
0.1607 0.1005
0.1030 0.0815
0.0488 0.0541
0.0198 0.0320
0.0114 0.0232
0.0044 0.0133
0.0000 0.0000
0.0048 -.0152
0.0106 -.0208
0.0240 -.0237
0.0459 -.0273
0.1069 -.0366
0.1652 -.0399
0.2090 -.0397
0.2632 -.0377
0.3193 -.0344
0.3972 -.0281
0.4171 -.0263
0.4374 -.0243
0.5200 -.0164
0.6044 -.0089
0.6914 -.0027
0.7800 0.0023
0.8917 0.0042
0.9579 0.0026
1.0000 0.0000
