AV-1.7-8  cmo+0.012 (aile volante genre La Cylon)
 1.00000     0.00080
 0.99161     0.00059
 0.97445     0.00057
 0.95497     0.00102
 0.93484     0.00179
 0.91451     0.00285
 0.89407     0.00414
 0.87352     0.00561
 0.85289     0.00723
 0.83225     0.00899
 0.81153     0.01087
 0.79078     0.01284
 0.76998     0.01491
 0.74915     0.01705
 0.72826     0.01923
 0.70737     0.02145
 0.68643     0.02372
 0.66551     0.02601
 0.64456     0.02829
 0.62362     0.03059
 0.60273     0.03285
 0.58182     0.03509
 0.56097     0.03731
 0.54013     0.03948
 0.51931     0.04160
 0.49852     0.04364
 0.47774     0.04560
 0.45701     0.04746
 0.43624     0.04922
 0.41554     0.05087
 0.39487     0.05239
 0.37420     0.05376
 0.35357     0.05499
 0.33295     0.05607
 0.31238     0.05696
 0.29186     0.05767
 0.27140     0.05815
 0.25095     0.05841
 0.23061     0.05838
 0.21033     0.05809
 0.19016     0.05746
 0.17013     0.05646
 0.15024     0.05503
 0.13058     0.05314
 0.11120     0.05072
 0.09223     0.04768
 0.07391     0.04397
 0.05658     0.03955
 0.04088     0.03442
 0.02759     0.02875
 0.01745     0.02310
 0.01050     0.01800
 0.00603     0.01364
 0.00316     0.01002
 0.00140     0.00692
 0.00034     0.00427
-0.00005     0.00183
 0.00046    -0.00064
 0.00212    -0.00246
 0.00487    -0.00435
 0.00890    -0.00604
 0.01497    -0.00790
 0.02473    -0.01004
 0.03979    -0.01247
 0.05846    -0.01465
 0.07825    -0.01635
 0.09838    -0.01763
 0.11872    -0.01858
 0.13930    -0.01927
 0.16014    -0.01979
 0.18103    -0.02017
 0.20199    -0.02047
 0.22294    -0.02069
 0.24393    -0.02085
 0.26494    -0.02097
 0.28596    -0.02105
 0.30696    -0.02108
 0.32797    -0.02109
 0.34899    -0.02105
 0.37000    -0.02100
 0.39099    -0.02091
 0.41202    -0.02080
 0.43300    -0.02066
 0.45398    -0.02049
 0.47496    -0.02030
 0.49590    -0.02005
 0.51683    -0.01976
 0.53778    -0.01942
 0.55874    -0.01904
 0.57968    -0.01863
 0.60066    -0.01815
 0.62163    -0.01765
 0.64259    -0.01710
 0.66356    -0.01652
 0.68451    -0.01591
 0.70548    -0.01525
 0.72644    -0.01454
 0.74740    -0.01379
 0.76829    -0.01299
 0.78922    -0.01213
 0.81007    -0.01120
 0.83098    -0.01021
 0.85181    -0.00916
 0.87264    -0.00806
 0.89352    -0.00691
 0.91433    -0.00571
 0.93503    -0.00446
 0.95551    -0.00313
 0.97526    -0.00175
 0.99188    -0.00034
 1.00000     0.00062

Vient de liste planeur Modif le 02/06/2013 .099999=1.0000
