CB3013 (c)ch.baron	
1.00000	0.00000
0.99000	0.00263
0.95000	0.01080
0.90000	0.02168
0.85000	0.03300
0.80000	0.04395
0.70000	0.06307
0.60000	0.07773
0.50000	0.08786
0.40000	0.09315
0.35000	0.09388
0.30000	0.09301
0.25000	0.09029
0.20000	0.08534
0.15000	0.07743
0.10000	0.06518
0.05000	0.04568
0.02500	0.03059
0.01250	0.01997
0.00500	0.01119
0.00200	0.00630
0.00000	0.00000
0.00200	-0.00628
0.00500	-0.01026
0.01250	-0.01573
0.02500	-0.02113
0.05000	-0.02778
0.10000	-0.03467
0.15000	-0.03755
0.20000	-0.03845
0.25000	-0.03815
0.30000	-0.03699
0.35000	-0.03536
0.40000	-0.03336
0.50000	-0.02843
0.60000	-0.02267
0.70000	-0.01620
0.80000	-0.00949
0.85000	-0.00628
0.90000	-0.00339
0.95000	-0.00130
0.99000	-0.00045
1.00000	0.00000
http://ch.baron.bei.t-online.de/indexprofile.HTM	
