Davis AIRFOIL
1.0000000 0.0000000
0.9000000 0.0250000
0.8000000 0.0460000
0.7000000 0.0625000
0.6000000 0.0770000
0.5000000 0.0860000
0.4000000 0.0915000
0.3000000 0.0900000
0.2500000 0.0875000
0.2000000 0.0825000
0.1500000 0.0740000
0.1000000 0.0600000
0.0750000 0.0510000
0.0500000 0.0405000
0.0250000 0.0268000
0.0125000 0.0175000
0.0000000 0.0000000
0.0125000 -.0105000
0.0250000 -.0147000
0.0500000 -.0205000
0.0750000 -.0240000
0.1000000 -.0260000
0.1500000 -.0270000
0.2000000 -.0265000
0.2500000 -.0245000
0.3000000 -.0225000
0.4000000 -.0176500
0.5000000 -.0130000
0.6000000 -.0100000
0.7000000 -.0075000
0.8000000 -.0045000
0.9000000 -.0020000
1.0000000 0.0000000
