 (Dicke 12.28%)               
   1.00000  0.00000
   0.99644  0.00023
   0.98613  0.00120
   0.96985  0.00302
   0.94806  0.00536
   0.92086  0.00808
   0.88853  0.01134
   0.85160  0.01525
   0.81068  0.01980
   0.76641  0.02493
   0.71950  0.03052
   0.67062  0.03638
   0.62048  0.04228
   0.56975  0.04795
   0.51907  0.05302
   0.46887  0.05707
   0.41943  0.05984
   0.37102  0.06123
   0.32389  0.06127
   0.27839  0.06013
   0.23501  0.05796
   0.19422  0.05482
   0.15645  0.05078
   0.12207  0.04593
   0.09142  0.04034
   0.06481  0.03412
   0.04247  0.02739
   0.02461  0.02033
   0.01138  0.01314
   0.00297  0.00613
   0.00000  0.00000
   0.00297 -0.00613
   0.01138 -0.01314
   0.02461 -0.02033
   0.04247 -0.02739
   0.06481 -0.03412
   0.09142 -0.04034
   0.12207 -0.04593
   0.15645 -0.05078
   0.19422 -0.05482
   0.23501 -0.05796
   0.27839 -0.06013
   0.32389 -0.06127
   0.37102 -0.06123
   0.41943 -0.05984
   0.46887 -0.05707
   0.51907 -0.05302
   0.56975 -0.04795
   0.62048 -0.04228
   0.67062 -0.03638
   0.71950 -0.03052
   0.76641 -0.02493
   0.81068 -0.01980
   0.85160 -0.01525
   0.88853 -0.01134
   0.92086 -0.00808
   0.94806 -0.00536
   0.96985 -0.00302
   0.98613 -0.00120
   0.99644 -0.00023
   1.00000  0.00000
