E226  (10.19%)               
   1.00000  0.00000
   0.99661  0.00027
   0.98667  0.00122
   0.97072  0.00302
   0.94920  0.00560
   0.92248  0.00888
   0.89101  0.01283
   0.85529  0.01736
   0.81585  0.02231
   0.77319  0.02753
   0.72785  0.03285
   0.68037  0.03809
   0.63128  0.04310
   0.58110  0.04770
   0.53037  0.05176
   0.47961  0.05514
   0.42931  0.05772
   0.37997  0.05942
   0.33207  0.06016
   0.28605  0.05989
   0.24234  0.05859
   0.20132  0.05625
   0.16335  0.05289
   0.12877  0.04858
   0.09785  0.04339
   0.07084  0.03743
   0.04797  0.03083
   0.02939  0.02376
   0.01521  0.01644
   0.00553  0.00915
   0.00044  0.00242
   0.00105 -0.00350
   0.00756 -0.00935
   0.01903 -0.01539
   0.03525 -0.02118
   0.05608 -0.02648
   0.08138 -0.03114
   0.11096 -0.03504
   0.14459 -0.03810
   0.18199 -0.04029
   0.22285 -0.04160
   0.26679 -0.04205
   0.31341 -0.04167
   0.36225 -0.04055
   0.41281 -0.03876
   0.46457 -0.03639
   0.51697 -0.03355
   0.56943 -0.03034
   0.62138 -0.02688
   0.67223 -0.02327
   0.72137 -0.01963
   0.76824 -0.01607
   0.81224 -0.01270
   0.85283 -0.00963
   0.88945 -0.00692
   0.92159 -0.00467
   0.94873 -0.00286
   0.97049 -0.00146
   0.98659 -0.00051
   0.99659 -0.00009
   1.00000  0.00000
