HM391-2	 Ein Brettprofil erstellt 04.2001
1.00000	0.00000
0.99432	0.00051
0.98864	0.00101
0.98298	0.00152
0.97732	0.00202
0.97168	0.00253
0.96606	0.00303
0.96047	0.00354
0.95490	0.00404
0.94937	0.00455
0.94385	0.00505
0.93833	0.00556
0.93280	0.00607
0.92723	0.00659
0.92161	0.00711
0.91591	0.00763
0.91013	0.00817
0.90423	0.00871
0.89823	0.00926
0.89214	0.00982
0.88597	0.01039
0.87975	0.01096
0.87348	0.01154
0.86718	0.01213
0.86086	0.01273
0.85456	0.01333
0.84826	0.01393
0.84197	0.01455
0.83568	0.01516
0.82939	0.01579
0.82310	0.01641
0.81680	0.01704
0.81049	0.01768
0.80416	0.01832
0.79782	0.01896
0.79148	0.01960
0.78515	0.02024
0.77885	0.02088
0.77259	0.02152
0.76637	0.02216
0.76023	0.02279
0.75416	0.02342
0.74818	0.02404
0.74227	0.02466
0.73642	0.02528
0.73060	0.02589
0.72480	0.02651
0.71899	0.02712
0.71316	0.02773
0.70728	0.02835
0.70135	0.02897
0.69535	0.02959
0.68927	0.03022
0.68310	0.03086
0.67685	0.03150
0.67049	0.03214
0.66404	0.03279
0.65747	0.03345
0.65078	0.03412
0.64400	0.03479
0.63715	0.03546
0.63027	0.03613
0.62340	0.03680
0.61658	0.03747
0.60983	0.03813
0.60319	0.03878
0.59669	0.03942
0.59035	0.04005
0.58413	0.04066
0.57802	0.04127
0.57196	0.04187
0.56595	0.04246
0.55995	0.04306
0.55393	0.04365
0.54786	0.04425
0.54173	0.04485
0.53555	0.04545
0.52934	0.04605
0.52311	0.04665
0.51688	0.04725
0.51066	0.04784
0.50448	0.04843
0.49835	0.04901
0.49228	0.04958
0.48626	0.05015
0.48027	0.05071
0.47432	0.05126
0.46837	0.05181
0.46242	0.05235
0.45646	0.05289
0.45048	0.05343
0.44445	0.05397
0.43838	0.05450
0.43225	0.05503
0.42607	0.05556
0.41983	0.05609
0.41353	0.05661
0.40715	0.05713
0.40070	0.05764
0.39417	0.05814
0.38757	0.05864
0.38093	0.05913
0.37427	0.05960
0.36762	0.06007
0.36100	0.06051
0.35443	0.06093
0.34794	0.06134
0.34156	0.06171
0.33530	0.06207
0.32919	0.06239
0.32327	0.06269
0.31754	0.06297
0.31204	0.06322
0.30679	0.06344
0.30181	0.06364
0.29714	0.06381
0.29278	0.06396
0.28870	0.06408
0.28489	0.06419
0.28132	0.06428
0.27797	0.06435
0.27480	0.06441
0.27181	0.06447
0.26895	0.06451
0.26622	0.06455
0.26357	0.06459
0.26100	0.06462
0.25847	0.06465
0.25596	0.06468
0.25345	0.06470
0.25091	0.06471
0.24832	0.06472
0.24565	0.064721
0.24291	0.06472
0.24011	0.06471
0.23723	0.06470
0.23430	0.06467
0.23132	0.06464
0.22829	0.06461
0.22523	0.06456
0.22212	0.06450
0.21899	0.06444
0.21583	0.06436
0.21266	0.06428
0.20949	0.06419
0.20631	0.06409
0.20313	0.06398
0.19997	0.06387
0.19682	0.06374
0.19369	0.06361
0.19058	0.06347
0.18749	0.06333
0.18440	0.06317
0.18132	0.06300
0.17825	0.06282
0.17518	0.06263
0.17212	0.06243
0.16905	0.06221
0.16598	0.06198
0.16293	0.06174
0.15991	0.06149
0.15691	0.06124
0.15394	0.06097
0.15102	0.06071
0.14815	0.06043
0.14534	0.06015
0.14256	0.05987
0.13981	0.05958
0.13706	0.05927
0.13429	0.05895
0.13150	0.05861
0.12866	0.05825
0.12575	0.05787
0.12276	0.05746
0.11970	0.05703
0.11658	0.05657
0.11342	0.05609
0.11022	0.05559
0.10701	0.05506
0.10380	0.05452
0.10060	0.05395
0.09742	0.05337
0.09428	0.05276
0.09118	0.05215
0.08813	0.05152
0.08514	0.05088
0.08222	0.05024
0.07937	0.04959
0.07660	0.04894
0.07392	0.04829
0.07133	0.04764
0.06882	0.04699
0.06640	0.04635
0.06407	0.04570
0.06181	0.04506
0.05963	0.04442
0.05752	0.04378
0.05548	0.04314
0.05351	0.04251
0.05160	0.04187
0.04975	0.04124
0.04796	0.04061
0.04622	0.03999
0.04454	0.03936
0.04290	0.03873
0.04130	0.03811
0.03975	0.03749
0.03823	0.03686
0.03676	0.03624
0.03534	0.03562
0.03396	0.03501
0.03262	0.03439
0.03133	0.03378
0.03009	0.03317
0.02890	0.03256
0.02775	0.03196
0.02664	0.03135
0.02557	0.03075
0.02453	0.03014
0.02352	0.02953
0.02253	0.02891
0.02156	0.02828
0.02060	0.02764
0.01966	0.02699
0.01874	0.02634
0.01783	0.02568
