MH391-1	 Ein Brettprofil erstellt 04.2001
1.00000	0.00000
0.99432	0.00064
0.98865	0.00127
0.98298	0.00191
0.97733	0.00254
0.97170	0.00317
0.96609	0.00381
0.96051	0.00444
0.95497	0.00507
0.94946	0.00569
0.94397	0.00632
0.93848	0.00695
0.93298	0.00757
0.92742	0.00820
0.92180	0.00884
0.91610	0.00948
0.91028	0.01012
0.90434	0.01078
0.89827	0.01144
0.89209	0.01211
0.88583	0.01278
0.87952	0.01346
0.87317	0.01414
0.86680	0.01482
0.86044	0.01550
0.85411	0.01618
0.84782	0.01686
0.84156	0.01753
0.83532	0.01821
0.82910	0.01888
0.82287	0.01955
0.81663	0.02022
0.81038	0.02089
0.80410	0.02155
0.79779	0.02221
0.79146	0.02287
0.78513	0.02353
0.77882	0.02418
0.77255	0.02483
0.76632	0.02547
0.76015	0.02611
0.75407	0.02675
0.74808	0.02738
0.74217	0.02801
0.73631	0.02864
0.73049	0.02926
0.72469	0.02989
0.71888	0.03051
0.71305	0.03114
0.70718	0.03177
0.70125	0.03240
0.69525	0.03303
0.68917	0.03367
0.68300	0.03431
0.67674	0.03496
0.67039	0.03561
0.66393	0.03627
0.65736	0.03694
0.65067	0.03761
0.64388	0.03829
0.63704	0.03897
0.63016	0.03966
0.62329	0.04034
0.61646	0.04102
0.60971	0.04169
0.60307	0.04235
0.59657	0.04299
0.59023	0.04363
0.58401	0.04425
0.57789	0.04487
0.57184	0.04548
0.56583	0.04608
0.55982	0.04668
0.55380	0.04729
0.54773	0.04789
0.54160	0.04849
0.53542	0.04910
0.52920	0.04971
0.52297	0.05032
0.51674	0.05092
0.51053	0.05152
0.50434	0.05211
0.49821	0.05270
0.49214	0.05328
0.48611	0.05385
0.48013	0.05441
0.47417	0.05497
0.46822	0.05553
0.46228	0.05607
0.45631	0.05662
0.45033	0.05716
0.44430	0.05770
0.43822	0.05824
0.43210	0.05877
0.42592	0.05931
0.41968	0.05983
0.41337	0.06036
0.40699	0.06087
0.40054	0.06139
0.39400	0.06189
0.38741	0.06239
0.38077	0.06288
0.37411	0.06335
0.36745	0.06381
0.36083	0.06426
0.35426	0.06468
0.34777	0.06508
0.34139	0.06545
0.33513	0.06580
0.32902	0.06612
0.32309	0.06642
0.31736	0.06669
0.31186	0.06693
0.30661	0.06714
0.30163	0.06733
0.29696	0.06750
0.29260	0.06764
0.28852	0.06775
0.28471	0.06785
0.28114	0.06793
0.27779	0.06799
0.27462	0.06805
0.27163	0.06809
0.26877	0.06813
0.26604	0.06817
0.26339	0.06820
0.26082	0.06823
0.25829	0.06825
0.25578	0.06827
0.25327	0.06828
0.25073	0.06829
0.24814	0.068291
0.24547	0.06829
0.24273	0.06827
0.23993	0.06825
0.23705	0.06823
0.23412	0.06819
0.23114	0.06815
0.22811	0.06810
0.22504	0.06804
0.22194	0.06797
0.21881	0.06790
0.21566	0.06781
0.21249	0.06772
0.20931	0.06761
0.20613	0.06750
0.20296	0.06738
0.19980	0.06725
0.19665	0.06712
0.19352	0.06697
0.19041	0.06682
0.18732	0.06665
0.18423	0.06648
0.18115	0.06629
0.17808	0.06609
0.17501	0.06588
0.17195	0.06566
0.16888	0.06542
0.16581	0.06518
0.16277	0.06492
0.15974	0.06465
0.15674	0.06438
0.15378	0.06409
0.15086	0.06380
0.14799	0.06351
0.14518	0.06321
0.14240	0.06291
0.13965	0.06260
0.13690	0.06227
0.13413	0.06193
0.13134	0.06157
0.12849	0.06118
0.12559	0.06078
0.12260	0.06034
0.11954	0.05988
0.11643	0.05939
0.11326	0.05888
0.11007	0.05834
0.10686	0.05779
0.10365	0.05721
0.10045	0.05661
0.09728	0.05599
0.09414	0.05536
0.09104	0.05471
0.08800	0.05405
0.08501	0.05338
0.08209	0.05271
0.07924	0.05202
0.07647	0.05133
0.07379	0.05064
0.07120	0.04995
0.06869	0.04926
0.06628	0.04856
0.06394	0.04787
0.06168	0.04718
0.05950	0.04650
0.05740	0.04581
0.05536	0.04513
0.05339	0.04445
0.05148	0.04378
0.04964	0.04311
0.04785	0.04244
0.04612	0.04177
0.04443	0.04110
0.04280	0.04043
0.04120	0.03977
0.03965	0.03910
0.03814	0.03843
0.03667	0.03776
0.03524	0.03710
0.03386	0.03644
0.03253	0.03579
0.03124	0.03515
0.03000	0.03452
0.02881	0.03390
0.02766	0.03329
0.02656	0.03268
0.02549	0.03208
0.02445	0.03147
0.02344	0.03086
0.02246	0.03024
0.02149	0.02960
0.02054	0.02895
0.01960	0.02828
0.01867	0.02760
0.01777	0.02691
0.01688	0.02621
0.01601	0.02550
0.01517	0.02479
0.01435	0.02407
0.01355	0.02336
0.01278	0.02264
0.01204	0.02193
0.01133	0.02123
0.01064	0.02053
0.00998	0.01983
0.00936	0.01915
0.00876	0.01848
0.00820	0.01782
0.00766	0.01717
0.00716	0.01653
0.00668	0.01591
0.00623	0.01529
0.00579	0.01469
0.00538	0.01409
0.00498	0.01350
0.00459	0.01291
0.00422	0.01233
0.00385	0.01175
0.00349	0.01115
0.00314	0.01052
0.00280	0.00986
0.00246	0.00916
0.00213	0.00841
0.00180	0.00759
0.00148	0.00671
0.00116	0.00578
0.00087	0.00481
0.00060	0.00383
0.00037	0.00286
0.00019	0.00192
0.00007	0.00103
0.00001	-0.00014
0.00009	-0.00113
0.00023	-0.00168
0.00041	-0.00217
0.00063	-0.00260
0.00087	-0.00301
0.00112	-0.00339
0.00138	-0.00376
0.00162	-0.00414
0.00186	-0.00454
0.00211	-0.00496
0.00239	-0.00540
0.00272	-0.00588
0.00311	-0.00639
0.00358	-0.00695
0.00415	-0.00756
0.00484	-0.00822
0.00565	-0.00894
0.00656	-0.00969
0.00756	-0.01048
0.00864	-0.01127
0.00977	-0.01207
0.01094	-0.01286
0.01213	-0.01363
0.01332	-0.01435
0.01450	-0.01503
0.01570	-0.01567
0.01693	-0.01628
0.01823	-0.01687
0.01960	-0.01746
0.02108	-0.01804
0.02268	-0.01863
0.02444	-0.01925
0.02636	-0.01989
0.02844	-0.02056
0.03065	-0.02124
0.03299	-0.02193
0.03542	-0.02263
0.03793	-0.02333
0.04049	-0.02401
0.04310	-0.02468
0.04573	-0.02532
0.04840	-0.02595
0.05116	-0.02655
0.05404	-0.02715
0.05708	-0.02773
0.06032	-0.02832
0.06381	-0.02891
0.06757	-0.02951
0.07166	-0.03012
0.07605	-0.03075
0.08070	-0.03138
0.08556	-0.03201
0.09057	-0.03264
0.09567	-0.03324
0.10082	-0.03383
0.10595	-0.03438
0.11103	-0.03490
0.11600	-0.03537
0.12088	-0.03581
0.12568	-0.03622
0.13038	-0.03659
0.13501	-0.03694
0.13955	-0.03726
0.14403	-0.03757
0.14844	-0.03786
0.15278	-0.03813
0.15708	-0.03840
0.16134	-0.03865
0.16559	-0.03889
0.16982	-0.03912
0.17406	-0.03933
0.17832	-0.03955
0.18262	-0.03975
0.18696	-0.03994
0.19133	-0.04013
0.19571	-0.04030
0.20009	-0.04047
0.20444	-0.04063
0.20875	-0.04077
0.21300	-0.04091
0.21717	-0.04103
0.22124	-0.04114
0.22521	-0.04124
0.22911	-0.04132
0.23293	-0.04140
0.23669	-0.04147
0.24041	-0.04153
0.24409	-0.04158
0.24774	-0.04163
0.25138	-0.04167
0.25502	-0.04171
0.25865	-0.04175
0.26230	-0.04179
0.26595	-0.04182
0.26961	-0.04185
0.27330	-0.04188
0.27701	-0.04190
0.28075	-0.04193
0.28453	-0.04195
0.28839	-0.04197
0.29237	-0.04198
0.29649	-0.04199
0.30079	-0.04200
0.30530	-0.04199
0.31005	-0.04198
0.31509	-0.04196
0.32041	-0.04192
0.32597	-0.04188
0.33169	-0.04183
0.33752	-0.04177
0.34338	-0.04170
0.34921	-0.04162
0.35494	-0.04154
0.36052	-0.04144
0.36588	-0.04135
0.37107	-0.04124
0.37613	-0.04113
0.38113	-0.04101
0.38612	-0.04088
0.39115	-0.04075
0.39628	-0.04061
0.40157	-0.04046
0.40706	-0.04030
0.41275	-0.04013
0.41860	-0.03996
0.42457	-0.03978
0.43064	-0.03960
0.43677	-0.03941
0.44292	-0.03922
0.44906	-0.03903
0.45515	-0.03883
0.46118	-0.03864
0.46716	-0.03844
0.47311	-0.03824
0.47904	-0.03803
0.48495	-0.03782
0.49086	-0.03760
0.49677	-0.03737
0.50270	-0.03713
0.50866	-0.03688
0.51464	-0.03662
0.52066	-0.03635
0.52670	-0.03608
0.53278	-0.03580
0.53889	-0.03552
0.54503	-0.03523
0.55122	-0.03494
0.55743	-0.03465
0.56366	-0.03437
0.56989	-0.03408
0.57609	-0.03380
0.58225	-0.03351
0.58835	-0.03323
0.59436	-0.03295
0.60027	-0.03268
0.60607	-0.03241
0.61177	-0.03214
0.61743	-0.03187
0.62306	-0.03159
0.62871	-0.03132
0.63441	-0.03103
0.64019	-0.03074
0.64610	-0.03044
0.65215	-0.03013
0.65834	-0.02980
0.66466	-0.02946
0.67107	-0.02912
0.67754	-0.02877
0.68407	-0.02841
0.69061	-0.02805
0.69715	-0.02769
0.70367	-0.02733
0.71015	-0.02697
0.71663	-0.02661
0.72311	-0.02624
0.72961	-0.02587
0.73614	-0.02549
0.74273	-0.02509
0.74939	-0.02468
0.75614	-0.02426
0.76296	-0.02382
0.76984	-0.02336
0.77672	-0.02290
0.78357	-0.02243
0.79037	-0.02196
0.79706	-0.02150
0.80362	-0.02103
0.81001	-0.02058
0.81622	-0.02013
0.82226	-0.01970
0.82819	-0.01927
0.83404	-0.01885
0.83985	-0.01843
0.84564	-0.01802
0.85148	-0.01760
0.85738	-0.01718
0.86337	-0.01675
0.86945	-0.01632
0.87559	-0.01588
0.88175	-0.01544
0.88791	-0.01499
0.89405	-0.01453
0.90013	-0.01406
0.90614	-0.01358
0.91204	-0.01309
0.91782	-0.01260
0.92346	-0.01209
0.92896	-0.01158
0.93429	-0.01106
0.93945	-0.01054
0.94442	-0.01002
0.94920	-0.00949
0.95376	-0.00896
0.95810	-0.00842
0.96222	-0.00789
0.96613	-0.00735
0.96983	-0.00681
0.97331	-0.00626
0.97659	-0.00571
0.97965	-0.00515
0.98251	-0.00459
0.98517	-0.00401
0.98766	-0.00343
0.99000	-0.00285
0.99222	-0.00226
0.99434	-0.00167
0.99640	-0.00107
0.99841	-0.00048
1.00000	0.00000

http://rsonst.bei.t-online.de/modprof.html
