HN 1015	Allround/F3F  Norbert Habbe
1.00000	0.00000
0.99901	0.00013
0.99606	0.00057
0.99114	0.00133
0.98429	0.00242
0.97553	0.00385
0.96489	0.00556
0.95241	0.00749
0.93815	0.00959
0.92216	0.01187
0.90451	0.01433
0.88526	0.01694
0.86448	0.01970
0.84227	0.02255
0.81871	0.02547
0.79389	0.02843
0.76791	0.03140
0.74088	0.03434
0.71289	0.03723
0.68406	0.04004
0.65451	0.04274
0.62435	0.04531
0.59369	0.04771
0.56267	0.04992
0.53140	0.05191
0.50000	0.05366
0.46861	0.05515
0.43733	0.05635
0.40631	0.05725
0.37566	0.05783
0.34549	0.05808
0.31594	0.05798
0.28711	0.05753
0.25912	0.05671
0.23209	0.05553
0.20611	0.05397
0.18129	0.05206
0.15773	0.04978
0.13552	0.04715
0.11474	0.04418
0.09549	0.04088
0.07784	0.03729
0.06185	0.03342
0.04759	0.02932
0.03511	0.02501
0.02447	0.02055
0.01571	0.01604
0.00886	0.01158
0.00394	0.00722
0.00099	0.00321
0.00000	0.00000
0.00099	-0.00276
0.00394	-0.00580
0.00886	-0.00879
0.01571	-0.01159
0.02447	-0.01426
0.03511	-0.01673
0.04759	-0.01894
0.06185	-0.02090
0.07784	-0.02260
0.09549	-0.02404
0.11474	-0.02524
0.13552	-0.02618
0.15773	-0.02689
0.18129	-0.02737
0.20611	-0.02763
0.23209	-0.02768
0.25912	-0.02754
0.28711	-0.02722
0.31594	-0.02672
0.34549	-0.02607
0.37566	-0.02527
0.40631	-0.02434
0.43733	-0.02328
0.46861	-0.02212
0.50000	-0.02084
0.53140	-0.01945
0.56267	-0.01794
0.59369	-0.01632
0.62435	-0.01461
0.65451	-0.01287
0.68406	-0.01115
0.71289	-0.00948
0.74088	-0.00788
0.76791	-0.00639
0.79389	-0.00502
0.81871	-0.00378
0.84227	-0.00270
0.86448	-0.00177
0.88526	-0.00099
0.90451	-0.00037
0.92216	0.00008
0.93815	0.00037
0.95241	0.00053
0.96489	0.00059
0.97553	0.00055
0.98429	0.00045
0.99114	0.00031
0.99606	0.00016
0.99901	0.00005
1.00000	0.00000
