HN-1070	HLG	 Norbert Habbe
1.000000	0.000127		
0.999013	0.000283		
0.996057	0.000689		
0.991144	0.001368		
0.984292	0.002243		
0.975528	0.003347		
0.964888	0.004618		
0.952414	0.006030		
0.938153	0.007610		
0.922164	0.009348		
0.904508	0.011236		
0.885257	0.013265		
0.864484	0.015411		
0.842274	0.017654		
0.818712	0.019966		
0.793893	0.022328		
0.767913	0.024715		
0.740877	0.027106		
0.712890	0.029490		
0.684062	0.031840		
0.654508	0.034135		
0.624345	0.036348		
0.593691	0.038460		
0.562667	0.040437		
0.531395	0.042265		
0.500000	0.043902		
0.468605	0.045344		
0.437333	0.046551		
0.406309	0.047530		
0.375655	0.048233		
0.345492	0.048683		
0.315938	0.048835		
0.287110	0.048683		
0.259123	0.048236		
0.232087	0.047463		
0.206107	0.046367		
0.181288	0.044936		
0.157726	0.043168		
0.135516	0.041061		
0.114743	0.038635		
0.095492	0.035874		
0.077836	0.032820		
0.061847	0.029494		
0.047586	0.025917		
0.035112	0.022134		
0.024472	0.018201		
0.015708	0.014213		
0.008856	0.010207		
0.003943	0.006322		
0.000987	0.002827		
0.000000	0.000000		
0.000987	-0.002379		
0.003943	-0.004752		
0.008856	-0.007063		
0.015708	-0.009277		
0.024472	-0.011319		
0.035112	-0.013134		
0.047586	-0.014689		
0.061847	-0.015972		
0.077836	-0.016990		
0.095492	-0.017758		
0.114743	-0.018279		
0.135516	-0.018573		
0.157726	-0.018650		
0.181288	-0.018538		
0.206107	-0.018247		
0.232087	-0.017803		
0.259123	-0.017216		
0.287110	-0.016505		
0.315938	-0.015691		
0.345492	-0.014783		
0.375655	-0.013813		
0.406309	-0.012798		
0.437333	-0.011753		
0.468605	-0.010702		
0.500000	-0.009650		
0.531395	-0.008619		
0.562667	-0.007615		
0.593691	-0.006644		
0.624345	-0.005722		
0.654508	-0.004853		
0.684062	-0.004054		
0.712890	-0.003330		
0.740877	-0.002676		
0.767913	-0.002101		
0.793893	-0.001598		
0.818712	-0.001164		
0.842274	-0.000796		
0.864484	-0.000493		
0.885257	-0.000255		
0.904508	-0.000074		
0.922164	0.000052		
0.938153	0.000130		
0.952414	0.000162		
0.964888	0.000146		
0.975528	0.000091		
0.984292	0.000075		
0.991144	0.000032		
0.996057	-0.000047		
0.999013	-0.000089		
1.000000	-0.000127		


Profildicke(d): 6,55 %
Dickenrcklage(xd): 25,91 %
Profilwlbung(f): 1,74 %
Wlbungsrcklage(xf): 43,73 %
Momentenbeiwert(cm0): -0,0508
Nullauftrieb(a 0): -2,0233 
Stofreier Eintritt: 0,4921 
Ca bei stofreiem Eintritt: 0,2758
Auftriebsanstieg: 6,6196
Neutralpunktlage: 25,27 %
Profiltyp: Profil
