HN-163TB F3B  Norbert Habbe
1.00000	0.00000		
0.99901	0.00014		
0.99606	0.00062		
0.99114	0.00146		
0.98429	0.00268		
0.97553	0.00425		
0.96489	0.00610		
0.95241	0.00817		
0.93815	0.01040		
0.92216	0.01279		
0.90451	0.01534		
0.88526	0.01805		
0.86448	0.02088		
0.84227	0.02380		
0.81871	0.02679		
0.79389	0.02980
0.76791	0.03281
0.74088	0.03579
0.71289	0.03871
0.68406	0.04155
0.65451	0.04427
0.62435	0.04686
0.59369	0.04927
0.56267	0.05149
0.53140	0.05350
0.50000	0.05525
0.46861	0.05674
0.43733	0.05794
0.40631	0.05882
0.37566	0.05937
0.34549	0.05958
0.31594	0.05943
0.28711	0.05891
0.25912	0.05801
0.23209	0.05672
0.20611	0.05506
0.18129	0.05302
0.15773	0.05061
0.13552	0.04785
0.11474	0.04473
0.09549	0.04130
0.07784	0.03757
0.06185	0.03359
0.04759	0.02938
0.03511	0.02498
0.02447	0.02045
0.01571	0.01590
0.00886	0.01144
0.00394	0.00707
0.00099	0.00309
0.00000	0.00000
0.00099	-0.00256
0.00394	-0.00539
0.00886	-0.00813
0.01571	-0.01068
0.02447	-0.01310
0.03511	-0.01535
0.04759	-0.01734
0.06185	-0.01911
0.07784	-0.02063
0.09549	-0.02191
0.11474	-0.02297
0.13552	-0.02378
0.15773	-0.02439
0.18129	-0.02478
0.20611	-0.02498
0.23209	-0.02500
0.25912	-0.02483
0.28711	-0.02452
0.31594	-0.02405
0.34549	-0.02343
0.37566	-0.02270
0.40631	-0.02184
0.43733	-0.02087
0.46861	-0.01979
0.50000	-0.01861
0.53140	-0.01732
0.56267	-0.01588
0.59369	-0.01430
0.62435	-0.01260
0.65451	-0.01087
0.68406	-0.00915
0.71289	-0.00750
0.74088	-0.00594
0.76791	-0.00451
0.79389	-0.00321
0.81871	-0.00207
0.84227	-0.00110
0.86448	-0.00029
0.88526	0.00035
0.90451	0.00081
0.92216	0.00112
0.93815	0.00127
0.95241	0.00129
0.96489	0.00119
0.97553	0.00101			
0.98429	0.00076			
0.99114	0.00049			
0.99606	0.00024			
0.99901	0.00007			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8.35	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	1.85	%		
Wlbungsrcklage(xf):	43.73	%		
Momentenbeiwert(cm0):	-0.0698			
Nullauftrieb(a0):	-2.6332			
Stofreier	Eintritt:	0.3062		
Ca	bei	stofreiem	Eintritt:	0.3223
Auftriebsanstieg:	6.6994			
Neutralpunktlage:	25.61	%
Profiltyp:	Profil	
