HN-216TA F3B  Norbert Habbe
1.00000	0.00000		
0.99901	0.00014		
0.99604	0.00060		
0.99111	0.00140		
0.98429	0.00257		
0.97553	0.00409		
0.96489	0.00588		
0.95241	0.00788		
0.93815	0.01004		
0.92216	0.01237		
0.90451	0.01487		
0.88526	0.01752		
0.86448	0.02031		
0.84227	0.02319		
0.81871	0.02613		
0.79389	0.02911
0.76791	0.03209
0.74088	0.03505
0.71289	0.03794
0.68406	0.04075
0.65451	0.04343
0.62435	0.04599
0.59369	0.04836
0.56267	0.05053
0.53140	0.05249
0.50000	0.05420
0.46861	0.05563
0.43733	0.05677
0.40631	0.05761
0.37566	0.05811
0.34549	0.05829
0.31594	0.05810
0.28711	0.05757
0.25912	0.05665
0.23209	0.05538
0.20611	0.05373
0.18129	0.05172
0.15773	0.04935
0.13552	0.04665
0.11474	0.04361
0.09549	0.04025
0.07784	0.03662
0.06185	0.03274
0.04759	0.02864
0.03511	0.02436
0.02447	0.01994
0.01571	0.01551
0.00886	0.01115
0.00394	0.00694
0.00095	0.00316
0.00000	0.00000
0.00105	-0.00260
0.00394	-0.00537
0.00886	-0.00810
0.01571	-0.01066
0.02447	-0.01310
0.03511	-0.01537
0.04759	-0.01740
0.06185	-0.01920
0.07784	-0.02075
0.09549	-0.02207
0.11474	-0.02316
0.13552	-0.02401
0.15773	-0.02464
0.18129	-0.02507
0.20611	-0.02528
0.23209	-0.02532
0.25912	-0.02516
0.28711	-0.02486
0.31594	-0.02439
0.34549	-0.02378
0.37566	-0.02304
0.40631	-0.02217
0.43733	-0.02119
0.46861	-0.02011
0.50000	-0.01892
0.53140	-0.01762
0.56267	-0.01618
0.59369	-0.01462
0.62435	-0.01294
0.65451	-0.01123
0.68406	-0.00954
0.71289	-0.00791
0.74088	-0.00637
0.76791	-0.00494
0.79389	-0.00364
0.81871	-0.00250
0.84227	-0.00151
0.86448	-0.00068
0.88526	-0.00001
0.90451	0.00049
0.92216	0.00083
0.93815	0.00102
0.95241	0.00108
0.96489	0.00103
0.97553	0.00088			
0.98429	0.00068			
0.99114	0.00044			
0.99606	0.00022			
0.99901	0.00006			
1.00000	0.00000			
Profilbeiwerte				
Profildicke(d):	8.25	%		
Dickenrcklage(xd):	30.62	%		
Profilwlbung(f):	1.78	%		
Wlbungsrcklage(xf):	44.77	%		
Momentenbeiwert(cm0):	-0.0666			
Nullauftrieb(a0):	-2.5042			
Stofreier	Eintritt:	0.274		
Ca	bei	stofreiem	Eintritt:	0.3046
Auftriebsanstieg:	6.6942			
Neutralpunktlage:	25.61	%
Profiltyp:	Profil	
