HN 380	F3B - RCM 205 de 1998
1.000000	0.000000
0.999013	0.000170
0.996057	0.000729
0.991144	0.001714
0.984292	0.003131
0.975528	0.004595
0.964888	0.007098
0.952414	0.009493
0.938153	0.012071
0.922164	0.014844
0.904508	0.017810
0.885257	0.020955
0.864484	0.024240
0.842274	0.027626
0.818712	0.031086
0.793893	0.034575
0.767913	0.038055
0.740877	0.041501
0.712890	0.044867
0.684062	0.048120
0.654508	0.051231
0.624345	0.054171
0.593691	0.056896
0.562667	0.059381
0.531395	0.061598
0.500000	0.063521
0.468605	0.065112
0.437333	0.066360
0.406309	0.067242
0.375655	0.067738
0.345492	0.067845
0.315938	0.067529
0.287110	0.066803
0.259123	0.065643
0.232087	0.064058
0.206107	0.062052
0.181288	0.059627
0.157726	0.056788
0.135516	0.053573
0.114743	0.049981
0.095492	0.046045
0.077836	0.041804
0.061847	0.037294
0.047586	0.032557
0.035112	0.027640
0.024472	0.022585
0.015708	0.017522
0.008856	0.012548
0.003943	0.007814
0.000987	0.003473
0.000000	0.000000
0.003943	-0.005768
0.008856	-0.008598
0.015708	-0.011275
0.024472	-0.013809
0.035112	-0.016153
0.047586	-0.018228
0.061847	-0.020050
0.077836	-0.021599
0.095492	-0.022882
0.114743	-0.023916
0.135516	-0.024682
0.157726	-0.025208
0.181288	-0.025504
0.206107	-0.025574
0.232087	-0.025441
0.259123	-0.025113
0.287110	-0.024613
0.315938	-0.023943
0.345492	-0.023114
0.375655	-0.022154
0.406309	-0.021062
0.437333	-0.019863
0.468605	-0.018564
0.500000	-0.017171
0.531395	-0.015689
0.562667	-0.014095
0.593691	-0.012409
0.624345	-0.010651
0.654508	-0.008886
0.684062	-0.007167
0.712890	-0.005531
0.740877	-0.004006
0.767913	-0.002624
0.793893	-0.001404
0.818712	-0.000350
0.842274	0.000530
0.864484	0.001226
0.885257	0.001736
0.904508	0.002069
0.922164	0.002226
0.938153	0.0022261
0.952414	0.002080
0.964888	0.001817
0.975528	0.001462
0.984292	0.001067
0.991144	0.000668
0.996057	0.000324
0.999013	0.000086
1.000000	0.000000
