HN-478S	 Norbert Habbe Leitwerke-Aile volante
1.00000	0.00000
0.99901	0.00005
0.99606	0.00022
0.99114	0.00056
0.98429	0.00112
0.97553	0.00192
0.96489	0.00295
0.95241	0.00419
0.93815	0.00563
0.92216	0.00727
0.90451	0.00912
0.88526	0.01118
0.86448	0.01344
0.84227	0.01587
0.81871	0.01847
0.79389	0.02120
0.76791	0.02404
0.74088	0.02697
0.71289	0.02995
0.68406	0.03296
0.65451	0.03596
0.62435	0.03891
0.59369	0.04176
0.56267	0.04448
0.53140	0.04701
0.50000	0.04932
0.46861	0.05135
0.43733	0.05309
0.40631	0.05450
0.37566	0.05555
0.34549	0.05623
0.31594	0.05650
0.28711	0.05638
0.25912	0.05586
0.23209	0.05497
0.20611	0.05368
0.18129	0.05202
0.15773	0.04997
0.13552	0.04755
0.11474	0.04477
0.09549	0.04165
0.07784	0.03819
0.06185	0.03442
0.04759	0.03038
0.03511	0.02610
0.02447	0.02161
0.01571	0.01702
0.00886	0.01245
0.00394	0.00784
0.00099	0.00335
0.00000	0.00000
0.00099	-0.00335
0.00394	-0.00784
0.00886	-0.01245
0.01571	-0.01702
0.02447	-0.02161
0.03511	-0.02610
0.04759	-0.03038
0.06185	-0.03442
0.07784	-0.03819
0.09549	-0.04165
0.11474	-0.04477
0.13552	-0.04755
0.15773	-0.04997
0.18129	-0.05202
0.20611	-0.05368
0.23209	-0.05497
0.25912	-0.05586
0.28711	-0.05638
0.31594	-0.05650
0.34549	-0.05623
0.37566	-0.05555
0.40631	-0.05450
0.43733	-0.05309
0.46861	-0.05135
0.50000	-0.04932
0.53140	-0.04701
0.56267	-0.04448
0.59369	-0.04176
0.62435	-0.03891
0.65451	-0.03596
0.68406	-0.03296
0.71289	-0.02995
0.74088	-0.02697
0.76791	-0.02404
0.79389	-0.02120
0.81871	-0.01847
0.84227	-0.01587
0.86448	-0.01344
0.88526	-0.01118
0.90451	-0.00912
0.92216	-0.00727
0.93815	-0.00563
0.95241	-0.00419
0.96489	-0.00295
0.97553	-0.00192
0.98429	-0.00112
0.99114	-0.00056
0.99606	-0.00022
0.99901	-0.00005
1.00000	0.00000
