HN-480	 Norbert Habbe F3F
1.00000	0.00000
0.99901	0.00012
0.99606	0.00050
0.99114	0.00119
0.98429	0.00221
0.97553	0.00355
0.96489	0.00514
0.95241	0.00697
0.93815	0.00898
0.92216	0.01119
0.90451	0.01359
0.88526	0.01616
0.86448	0.01888
0.84227	0.02170
0.81871	0.02460
0.79389	0.02753
0.76791	0.03047
0.74088	0.03336
0.71289	0.03616
0.68406	0.03889
0.65451	0.04151
0.62435	0.04392
0.59369	0.04612
0.56267	0.04815
0.53140	0.04997
0.50000	0.05155
0.46861	0.05286
0.43733	0.05389
0.40631	0.05463
0.37566	0.05506
0.34549	0.05518
0.31594	0.05496
0.28711	0.05442
0.25912	0.05353
0.23209	0.05230
0.20611	0.05076
0.18129	0.04887
0.15773	0.04666
0.13552	0.04412
0.11474	0.04122
0.09549	0.03808
0.07784	0.03472
0.06185	0.03108
0.04759	0.02719
0.03511	0.02314
0.02447	0.01896
0.01571	0.01473
0.00886	0.01057
0.00394	0.00654
0.00099	0.00297
0.00000	0.00000
0.00099	-0.00259
0.00394	-0.00525
0.00886	-0.00798
0.01571	-0.01062
0.02447	-0.01316
0.03511	-0.01552
0.04759	-0.01767
0.06185	-0.01959
0.07784	-0.02125
0.09549	-0.02266
0.11474	-0.02381
0.13552	-0.02470
0.15773	-0.02534
0.18129	-0.02575
0.20611	-0.02593
0.23209	-0.02589
0.25912	-0.02565
0.28711	-0.02523
0.31594	-0.02463
0.34549	-0.02388
0.37566	-0.02298
0.40631	-0.02196
0.43733	-0.02083
0.46861	-0.01960
0.50000	-0.01830
0.53140	-0.01694
0.56267	-0.01552
0.59369	-0.01407
0.62435	-0.01260
0.65451	-0.01114
0.68406	-0.00971
0.71289	-0.00833
0.74088	-0.00700
0.76791	-0.00576
0.79389	-0.00461
0.81871	-0.00356
0.84227	-0.00263
0.86448	-0.00182
0.88526	-0.00113
0.90451	-0.00058
0.92216	-0.00015
0.93815	0.00015
0.95241	0.00033
0.96489	0.000411
0.97553	0.00041
0.98429	0.00034
0.99114	0.00024
0.99606	0.00013
0.99901	0.00004
1.00000	0.00000
