HN-980	Planeur>3.5m  Norbert Habbe	
1.000000	0.000000
0.999013	0.000136
0.996057	0.000586
0.991144	0.001393
0.984292	0.002606
0.975528	0.004228
0.964888	0.006212
0.952414	0.008486
0.938153	0.010983
0.922164	0.013669
0.904508	0.016538
0.885257	0.019582
0.864484	0.022796
0.842274	0.026166
0.818712	0.029664
0.793893	0.033258
0.767913	0.036927
0.740877	0.040639
0.712890	0.044363
0.684062	0.048067
0.654508	0.051713
0.624345	0.055259
0.593691	0.058658
0.562667	0.061862
0.531395	0.064801
0.500000	0.067405
0.468605	0.069635
0.437333	0.071412
0.406309	0.072723
0.375655	0.073513
0.345492	0.073766
0.315938	0.073457
0.287110	0.072602
0.259123	0.071224
0.232087	0.069364
0.206107	0.067049
0.181288	0.064301
0.157726	0.061126
0.135516	0.057558
0.114743	0.053621
0.095492	0.049343
0.077836	0.044755
0.061847	0.039898
0.047586	0.034818
0.035112	0.029560
0.024472	0.024184
0.015708	0.018790
0.008856	0.013485
0.003943	0.008419
0.000987	0.003849
0.000000	0.000000
0.000987	-0.003561
0.003943	-0.007283
0.008856	-0.011059
0.015708	-0.014816
0.024472	-0.018502
0.035112	-0.022010
0.047586	-0.025288
0.061847	-0.028320
0.077836	-0.031079
0.095492	-0.033557
0.114743	-0.035743
0.135516	-0.037616
0.157726	-0.039186
0.181288	-0.040451
0.206107	-0.041389
0.232087	-0.042024
0.259123	-0.0423401
0.287110	-0.042340
0.315938	-0.041985
0.345492	-0.041246
0.375655	-0.040119
0.406309	-0.038637
0.437333	-0.036858
0.468605	-0.034869
0.500000	-0.032707
0.531395	-0.030419
0.562667	-0.028026
0.593691	-0.025558
0.624345	-0.023059
0.654508	-0.020575
0.684062	-0.018153
0.712890	-0.015817
0.740877	-0.013599
0.767913	-0.011521
0.793893	-0.009602
0.818712	-0.007850
0.842274	-0.006280
0.864484	-0.004896
0.885257	-0.003698
0.904508	-0.002682
0.922164	-0.001839
0.938153	-0.001157
0.952414	-0.000628
0.964888	-0.000240
0.975528	0.000012
0.984292	0.000136
0.991144	0.000151
0.996057	0.000100
0.999013	0.000032
1.000000	0.000000
