HN-990 F3B   Norbert Habbe	
1.000000	0.000000
0.999013	0.000140
0.996057	0.000609
0.991144	0.001427
0.984292	0.002625
0.975528	0.004157
0.964888	0.005943
0.952414	0.007962
0.938153	0.010126
0.922164	0.012457
0.904508	0.014951
0.885257	0.017590
0.864484	0.020350
0.842274	0.023197
0.818712	0.026103
0.793893	0.029033
0.767913	0.031957
0.740877	0.034846
0.712890	0.037672
0.684062	0.040400
0.654508	0.043012
0.624345	0.045485
0.593691	0.047778
0.562667	0.049882
0.531395	0.051769
0.500000	0.053417
0.468605	0.054792
0.437333	0.055883
0.406309	0.056669
0.375655	0.057130
0.345492	0.057269
0.315938	0.057049
0.287110	0.056488
0.259123	0.055555
0.232087	0.054263
0.206107	0.052614
0.181288	0.050609
0.157726	0.048253
0.135516	0.045570
0.114743	0.042560
0.095492	0.039252
0.077836	0.035675
0.061847	0.031857
0.047586	0.027835
0.035112	0.023645
0.024472	0.019336
0.015708	0.015012
0.008856	0.010769
0.003943	0.006689
0.000987	0.003099
0.000000	0.000000
0.000987	-0.002439
0.003943	-0.004983
0.008856	-0.007551
0.015708	-0.009888
0.024472	-0.012102
0.035112	-0.014155
0.047586	-0.015963
0.061847	-0.017559
0.077836	-0.018917
0.095492	-0.020050
0.114743	-0.020968
0.135516	-0.021658
0.157726	-0.022157
0.181288	-0.022455
0.206107	-0.022568
0.232087	-0.022515
0.259123	-0.022297
0.287110	-0.021938
0.315938	-0.021443
0.345492	-0.020817
0.375655	-0.020082
0.406309	-0.019239
0.437333	-0.018299
0.468605	-0.017272
0.500000	-0.016153
0.531395	-0.014939
0.562667	-0.013600
0.593691	-0.012140
0.624345	-0.010585
0.654508	-0.009000
0.684062	-0.007446
0.712890	-0.005956
0.740877	-0.004558
0.767913	-0.003277
0.793893	-0.002133
0.818712	-0.001141
0.842274	-0.000299
0.864484	0.000384
0.885257	0.000904
0.904508	0.001267
0.922164	0.001479
0.938153	0.001550
0.952414	0.001496
0.964888	0.001339
0.975528	0.001101
0.984292	0.000815
0.991144	0.000517
0.996057	0.000253
0.999013	0.000068
1.000000	0.000000
