MID 011-0 (c)Slobodan Midic   for Hand and Catapult Launched Glider  
     1.000000    0.002498
     0.997402    0.002478
     0.989373    0.002424
     0.978468    0.002366
     0.967420    0.002327
     0.956344    0.002308
     0.945261    0.002303
     0.934164    0.002308
     0.923098    0.002320
     0.912041    0.002338
     0.900979    0.002370
     0.889953    0.002406
     0.878892    0.002447
     0.867838    0.002496
     0.856796    0.002549
     0.845718    0.002609
     0.834647    0.002676
     0.823590    0.002748
     0.812503    0.002826
     0.801412    0.002912
     0.790340    0.003003
     0.779253    0.003099
     0.768145    0.003203
     0.757057    0.003313
     0.745978    0.003427
     0.734872    0.003545
     0.723759    0.003668
     0.712668    0.003795
     0.701576    0.003922
     0.690456    0.004052
     0.679338    0.004189
     0.668243    0.004329
     0.657143    0.004470
     0.646017    0.004616
     0.634893    0.004769
     0.623792    0.004925
     0.612691    0.005082
     0.601567    0.005241
     0.590442    0.005406
     0.579341    0.005573
     0.568242    0.005740
     0.557119    0.005908
     0.545989    0.006080
     0.534886    0.006254
     0.523794    0.006425
     0.512680    0.006595
     0.501553    0.006767
     0.490445    0.006940
     0.479354    0.007110
     0.468243    0.007278
     0.457116    0.007447
     0.446012    0.007618
     0.434933    0.007785
     0.423838    0.007949
     0.412718    0.008112
     0.401618    0.008276
     0.390552    0.008437
     0.379475    0.008591
     0.368373    0.008743
     0.357291    0.008894
     0.346249    0.009038
     0.335197    0.009173
     0.324109    0.009304
     0.313045    0.009433
     0.302028    0.009553
     0.290995    0.009661
     0.279914    0.009765
     0.268852    0.009869
     0.257844    0.009965
     0.246839    0.010048
     0.235828    0.010123
     0.224849    0.010185
     0.213886    0.010231
     0.202910    0.010263
     0.191967    0.010281
     0.181060    0.010280
     0.170146    0.010260
     0.159262    0.010222
     0.148417    0.010164
     0.137573    0.010083
     0.126775    0.009984
     0.116026    0.009856
     0.105301    0.009701
     0.094662    0.009514
     0.084053    0.009288
     0.073511    0.009018
     0.063058    0.008673
     0.052786    0.008224
     0.042724    0.007626
     0.032911    0.006850
     0.023578    0.005853
     0.014723    0.004564
     0.007859    0.003277
     0.004405    0.002474
     0.002726    0.001983
     0.001718    0.001600
     0.001035    0.001262
     0.000548    0.000933
     0.000215    0.000593
     0.000034    0.000242
     0.000012   -0.000134
     0.000165   -0.000521
     0.000499   -0.000893
     0.000997   -0.001241
     0.001661   -0.001576
     0.002553   -0.001925
     0.003830   -0.002320
     0.005966   -0.002857
     0.010422   -0.003795
     0.018080   -0.005097
     0.027832   -0.006347
     0.038695   -0.007333
     0.049625   -0.008054
     0.060345   -0.008566
     0.071248   -0.008950
     0.082133   -0.009242
     0.093077   -0.009481
     0.104062   -0.009679
     0.114968   -0.009839
     0.125921   -0.009972
     0.136900   -0.010075
     0.147822   -0.010157
     0.158759   -0.010217
     0.169749   -0.010255
     0.180716   -0.010276
     0.191660   -0.010278
     0.202651   -0.010259
     0.213684   -0.010227
     0.224693   -0.010181
     0.235686   -0.010119
     0.246718   -0.010044
     0.257791   -0.009960
     0.268845   -0.009863
     0.279869   -0.009759
     0.290906   -0.009656
     0.301976   -0.009547
     0.313044   -0.009426
     0.324086   -0.009297
     0.335124   -0.009167
     0.346189   -0.009031
     0.357271   -0.008887
     0.368337   -0.008736
     0.379390   -0.008584
     0.390459   -0.008430
     0.401558   -0.008269
     0.412668   -0.008103
     0.423767   -0.007941
     0.434866   -0.007777
     0.445994   -0.007609
     0.457140   -0.007437
     0.468267   -0.007268
     0.479355   -0.007100
     0.490427   -0.006930
     0.501530   -0.006757
     0.512664   -0.006584
     0.523784   -0.006414
     0.534884   -0.006243
     0.545989   -0.006069
     0.557118   -0.005896
     0.568253   -0.005728
     0.579369   -0.005561
     0.590472   -0.005393
     0.601584   -0.005228
     0.612715   -0.005068
     0.623842   -0.004911
     0.634948   -0.004754
     0.646047   -0.004602
     0.657162   -0.004456
     0.668288   -0.004314
     0.679397   -0.004174
     0.690490   -0.004036
     0.701593   -0.003906
     0.712714   -0.003779
     0.723828   -0.003652
     0.734918   -0.003528
     0.746011   -0.003410
     0.757124   -0.003296
     0.768234   -0.003185
     0.779321   -0.003081
     0.790411   -0.002985
     0.801520   -0.002894
     0.812618   -0.002807
     0.823691   -0.002730
     0.834770   -0.002658
     0.845861   -0.002590
     0.856922   -0.002530
     0.867977   -0.002477
     0.879049   -0.002427
     0.890100   -0.002386
     0.901146   -0.002350
     0.912225   -0.002318
     0.923283   -0.002300
     0.934361   -0.002288
     0.945438   -0.002282
     0.956506   -0.002287
     0.967573   -0.002307
     0.978639   -0.002346
     0.989549   -0.002404
     0.997585   -0.002458
     1.000000   -0.002478
