MID 013 (c)Slobodan Midic   for Hand and Catapult Launched Glider  
     1.000000    0.001251
     0.997455    0.001623
     0.989426    0.002820
     0.978520    0.004462
     0.967471    0.006146
     0.956393    0.007845
     0.945310    0.009555
     0.934211    0.011261
     0.923145    0.012956
     0.912086    0.014619
     0.901023    0.016260
     0.889996    0.017858
     0.878934    0.019418
     0.867879    0.020948
     0.856836    0.022433
     0.845757    0.023888
     0.834685    0.025312
     0.823627    0.026698
     0.812540    0.028054
     0.801447    0.029385
     0.790374    0.030684
     0.779287    0.031950
     0.768178    0.033194
     0.757089    0.034410
     0.746009    0.035593
     0.734902    0.036748
     0.723788    0.037880
     0.712697    0.038982
     0.701604    0.040052
     0.690483    0.041098
     0.679365    0.042122
     0.668269    0.043115
     0.657168    0.044074
     0.646041    0.045011
     0.634917    0.045927
     0.623815    0.046812
     0.612713    0.047662
     0.601589    0.048487
     0.590463    0.049290
     0.579361    0.050059
     0.568261    0.050792
     0.557138    0.051494
     0.546008    0.052174
     0.534904    0.052821
     0.523811    0.053426
     0.512697    0.053996
     0.501569    0.054537
     0.490461    0.055016
     0.479369    0.055429
     0.468257    0.055782
     0.457130    0.056090
     0.446026    0.056358
     0.434946    0.056578
     0.423850    0.056756
     0.412731    0.056897
     0.401630    0.057005
     0.390563    0.057066
     0.379486    0.057070
     0.368383    0.057030
     0.357300    0.056944
     0.346259    0.056798
     0.335206    0.056587
     0.324118    0.056320
     0.313053    0.056002
     0.302036    0.055624
     0.291003    0.055173
     0.279921    0.054666
     0.268859    0.054115
     0.257850    0.053506
     0.246845    0.052824
     0.235833    0.052073
     0.224854    0.051248
     0.213891    0.050336
     0.202915    0.049338
     0.191972    0.048257
     0.181064    0.047076
     0.170150    0.045788
     0.159265    0.044399
     0.148420    0.042895
     0.137576    0.041267
     0.126778    0.039523
     0.116029    0.037642
     0.105303    0.035620
     0.094664    0.033454
     0.084055    0.031114
     0.073512    0.028612
     0.063059    0.025938
     0.052787    0.023094
     0.042725    0.020026
     0.032912    0.016717
     0.023579    0.013174
     0.014723    0.009304
     0.007859    0.005879
     0.004405    0.003926
     0.002726    0.002886
     0.001718    0.002198
     0.001035    0.001680
     0.000548    0.001245
     0.000215    0.000850
     0.000034    0.000473
     0.000012    0.000114
     0.000165   -0.000218
     0.000499   -0.000502
     0.000997   -0.000709
     0.001661   -0.000839
     0.002553   -0.000887
     0.003830   -0.000830
     0.005966   -0.000597
     0.010422    0.000006
     0.018084    0.001104
     0.027859    0.002552
     0.038761    0.004236
     0.049735    0.006002
     0.060496    0.007773
     0.071435    0.009587
     0.082351    0.011377
     0.093320    0.013116
     0.104327    0.014774
     0.115254    0.016334
     0.126228    0.017820
     0.137228    0.019231
     0.148171    0.020562
     0.159129    0.021821
     0.170137    0.023018
     0.181120    0.024149
     0.192075    0.025221
     0.203074    0.026250
     0.214111    0.027242
     0.225120    0.028201
     0.236110    0.029132
     0.247137    0.030050
     0.258201    0.030960
     0.269244    0.031867
     0.280256    0.032773
     0.291280    0.033682
     0.302335    0.034586
     0.313388    0.035473
     0.324414    0.036337
     0.335436    0.037173
     0.346485    0.037977
     0.357552    0.038741
     0.368603    0.039462
     0.379642    0.040146
     0.390696    0.040799
     0.401779    0.041425
     0.412873    0.042028
     0.423955    0.042612
     0.435038    0.043182
     0.446149    0.043739
     0.457280    0.044255
     0.468395    0.044691
     0.479477    0.045009
     0.490546    0.045170
     0.501648    0.045136
     0.512782    0.044883
     0.523901    0.044600
     0.535002    0.044278
     0.546106    0.043912
     0.557233    0.043511
     0.568366    0.043082
     0.579481    0.042621
     0.590580    0.042121
     0.601689    0.041582
     0.612818    0.041010
     0.623942    0.040411
     0.635045    0.039778
     0.646141    0.039106
     0.657254    0.038398
     0.668377    0.037661
     0.679482    0.036892
     0.690571    0.036086
     0.701670    0.035240
     0.712786    0.034363
     0.723894    0.033456
     0.734979    0.032513
     0.746065    0.031533
     0.757172    0.030515
     0.768275    0.029467
     0.779354    0.028386
     0.790436    0.027266
     0.801537    0.026111
     0.812627    0.024925
     0.823693    0.023703
     0.834765    0.022441
     0.845849    0.021139
     0.856904    0.019805
     0.867952    0.018423
     0.879019    0.016996
     0.890064    0.015535
     0.901106    0.014025
     0.912181    0.012472
     0.923236    0.010891
     0.934314    0.009272
     0.945389    0.007637
     0.956457    0.005976
     0.967522    0.004299
     0.978587    0.002599
     0.989496    0.000905
     0.997532   -0.000353
     1.000000   -0.000748
