MID 115 (c)Slobodan Midic  F1A #Made by Sergio M
     1.000000    0.003940
     0.994026    0.005409
     0.982574    0.008195
     0.969025    0.011432
     0.955238    0.014639
     0.941213    0.017811
     0.926992    0.020940
     0.912763    0.023997
     0.898559    0.026965
     0.884346    0.029839
     0.870093    0.032629
     0.855804    0.035340
     0.841520    0.037969
     0.827253    0.040499
     0.812962    0.042935
     0.798640    0.045284
     0.784302    0.047544
     0.769952    0.049715
     0.755557    0.051803
     0.741097    0.053828
     0.726614    0.055796
     0.712103    0.057707
     0.697537    0.059579
     0.682955    0.061417
     0.668376    0.063217
     0.653791    0.064978
     0.639208    0.066701
     0.624636    0.068379
     0.610070    0.070009
     0.595507    0.071589
     0.580930    0.073119
     0.566329    0.074606
     0.551758    0.076046
     0.537205    0.077423
     0.522594    0.078752
     0.507972    0.080044
     0.493382    0.081285
     0.478791    0.082473
     0.464245    0.083602
     0.449779    0.084643
     0.435343    0.085583
     0.420945    0.086413
     0.406605    0.087114
     0.392300    0.087671
     0.378023    0.088077
     0.363755    0.088324
     0.349418    0.088417
     0.335022    0.088385
     0.320640    0.088230
     0.306256    0.087947
     0.291873    0.087543
     0.277548    0.087010
     0.263258    0.086331
     0.248978    0.085506
     0.234735    0.084532
     0.220558    0.083401
     0.206460    0.082097
     0.192447    0.080605
     0.178521    0.078908
     0.164715    0.076994
     0.151115    0.074844
     0.137727    0.072414
     0.124521    0.069668
     0.111601    0.066602
     0.099067    0.063175
     0.086894    0.059326
     0.075021    0.055003
     0.063420    0.050187
     0.052172    0.044917
     0.041456    0.039286
     0.031605    0.033452
     0.023201    0.027764
     0.016519    0.022568
     0.011352    0.017956
     0.007444    0.013968
     0.004676    0.010770
     0.002777    0.008209
     0.001562    0.005956
     0.000838    0.003829
     0.000356    0.001898
     0.000076    0.000228
     0.000149   -0.001333
     0.000630   -0.002945
     0.001551   -0.004581
     0.002948   -0.006034
     0.004891   -0.007142
     0.007515   -0.007957
     0.010969   -0.008612
     0.015524   -0.009085
     0.021492   -0.009305
     0.029292   -0.009192
     0.039079   -0.008557
     0.050278   -0.007288
     0.062263   -0.005331
     0.075260   -0.002746
     0.089216    0.000085
     0.103330    0.002834
     0.117517    0.005480
     0.131856    0.008074
     0.146217    0.010601
     0.160599    0.013063
     0.174982    0.015461
     0.189282    0.017763
     0.203538    0.019946
     0.217792    0.022008
     0.232034    0.023940
     0.246316    0.025746
     0.260663    0.027444
     0.275021    0.029036
     0.289410    0.030522
     0.303855    0.031918
     0.318290    0.033225
     0.332711    0.034429
     0.347148    0.035535
     0.361554    0.036538
     0.375899    0.037415
     0.390210    0.038152
     0.404531    0.038744
     0.418899    0.039202
     0.433333    0.039540
     0.447820    0.039776
     0.462353    0.039922
     0.476939    0.039993
     0.491572    0.040005
     0.506211    0.039964
     0.520813    0.039867
     0.535421    0.039703
     0.550052    0.039482
     0.564616    0.039201
     0.579168    0.038837
     0.593774    0.038404
     0.608323    0.037909
     0.622853    0.037326
     0.637476    0.036672
     0.652110    0.035971
     0.666708    0.035214
     0.681326    0.034399
     0.695987    0.033535
     0.710640    0.032635
     0.725236    0.031691
     0.739818    0.030686
     0.754375    0.029624
     0.768844    0.028491
     0.783289    0.027261
     0.797740    0.025941
     0.812124    0.024530
     0.826482    0.023007
     0.840862    0.021376
     0.855218    0.019646
     0.869537    0.017809
     0.883855    0.015862
     0.898194    0.013807
     0.912502    0.011660
     0.926750    0.009414
     0.940997    0.007051
     0.955112    0.004605
     0.968986    0.002098
     0.982535   -0.000458
     0.993987   -0.002716
     1.000000   -0.003940
