MID 120 (c)Slobodan Midic  F1G,K
     1.000000    0.005310
     0.994609    0.006327
     0.983622    0.008379
     0.969792    0.010916
     0.955836    0.013415
     0.942166    0.015798
     0.928181    0.018171
     0.913977    0.020515
     0.899827    0.022785
     0.885719    0.024983
     0.871585    0.027120
     0.857428    0.029194
     0.843270    0.031201
     0.829116    0.033140
     0.814960    0.035008
     0.800796    0.036804
     0.786617    0.038532
     0.772418    0.040192
     0.758192    0.041791
     0.743934    0.043335
     0.729641    0.044832
     0.715317    0.046288
     0.700967    0.047711
     0.686597    0.049105
     0.672216    0.050473
     0.657832    0.051814
     0.643452    0.053128
     0.629080    0.054412
     0.614714    0.055663
     0.600355    0.056879
     0.585999    0.058058
     0.571641    0.059199
     0.557278    0.060302
     0.542912    0.061368
     0.528547    0.062397
     0.514177    0.063388
     0.499801    0.064341
     0.485428    0.065258
     0.471074    0.066132
     0.456762    0.066953
     0.442504    0.067708
     0.428288    0.068383
     0.414100    0.068968
     0.399959    0.069453
     0.385871    0.069823
     0.371793    0.070070
     0.357669    0.070198
     0.343507    0.070222
     0.329340    0.070143
     0.315171    0.069964
     0.300986    0.069686
     0.286801    0.069314
     0.272648    0.068844
     0.258531    0.068268
     0.244439    0.067580
     0.230382    0.066775
     0.216379    0.065843
     0.202444    0.064773
     0.188583    0.063550
     0.174810    0.062161
     0.161147    0.060587
     0.147610    0.058809
     0.134212    0.056806
     0.120962    0.054558
     0.107909    0.052036
     0.095210    0.049232
     0.082986    0.046120
     0.071057    0.042589
     0.059169    0.038547
     0.047615    0.034132
     0.036992    0.029547
     0.027360    0.024766
     0.019006    0.019961
     0.012743    0.015817
     0.008413    0.012461
     0.005420    0.009691
     0.003307    0.007331
     0.001811    0.005279
     0.000804    0.003439
     0.000215    0.001726
     0.000012    0.000119
     0.000215   -0.001412
     0.000860   -0.002901
     0.001993   -0.004280
     0.003666   -0.005438
     0.005879   -0.006336
     0.008735   -0.006964
     0.012674   -0.007385
     0.018312   -0.007686
     0.025766   -0.007632
     0.035125   -0.006973
     0.046837   -0.005617
     0.060337   -0.003728
     0.074207   -0.001612
     0.087963    0.000502
     0.101698    0.002499
     0.115575    0.004389
     0.129638    0.006296
     0.143786    0.008262
     0.157941    0.010210
     0.172105    0.012094
     0.186274    0.013910
     0.200408    0.015647
     0.214499    0.017289
     0.228584    0.018830
     0.242695    0.020275
     0.256832    0.021629
     0.270993    0.022894
     0.285191    0.024078
     0.299424    0.025189
     0.313667    0.026230
     0.327900    0.027197
     0.342120    0.028086
     0.356323    0.028891
     0.370490    0.029604
     0.384622    0.030213
     0.398757    0.030714
     0.412930    0.031115
     0.427149    0.031424
     0.441410    0.031653
     0.455718    0.031812
     0.470071    0.031915
     0.484455    0.031972
     0.498852    0.031987
     0.513252    0.031963
     0.527645    0.031899
     0.542017    0.031792
     0.556366    0.031637
     0.570707    0.031428
     0.585055    0.031165
     0.599400    0.030850
     0.613733    0.030481
     0.628074    0.030057
     0.642446    0.029583
     0.656838    0.029069
     0.671232    0.028515
     0.685628    0.027925
     0.700034    0.027298
     0.714434    0.026639
     0.728807    0.025943
     0.743151    0.025203
     0.757469    0.024412
     0.771755    0.023564
     0.786005    0.022652
     0.800228    0.021666
     0.814439    0.020603
     0.828642    0.019462
     0.842833    0.018241
     0.857018    0.016940
     0.871202    0.015557
     0.885365    0.014096
     0.899498    0.012557
     0.913665    0.010932
     0.927886    0.009217
     0.941908    0.007444
     0.955626    0.005631
     0.969647    0.003697
     0.983595    0.001687
     0.994585    0.000035
     1.000000   -0.000802
