MID 173c  FF(c)Slobodan Midic
     1.000000    0.006096
     0.995434    0.008819
     0.987708    0.012356
     0.978623    0.015436
     0.967981    0.018248
     0.955893    0.020866
     0.942718    0.023339
     0.928976    0.025655
     0.914962    0.027790
     0.900781    0.029738
     0.886402    0.031530
     0.871797    0.033216
     0.857071    0.034845
     0.842367    0.036389
     0.827629    0.037840
     0.812821    0.039221
     0.797935    0.040549
     0.782999    0.041841
     0.768050    0.043098
     0.753099    0.044319
     0.738178    0.045499
     0.723285    0.046624
     0.708390    0.047693
     0.693496    0.048708
     0.678586    0.049666
     0.663624    0.050579
     0.648626    0.051462
     0.633631    0.052313
     0.618623    0.053130
     0.603566    0.053922
     0.588472    0.054709
     0.573375    0.055504
     0.558271    0.056305
     0.543181    0.057100
     0.528105    0.057882
     0.513046    0.058646
     0.498002    0.059387
     0.482954    0.060103
     0.467897    0.060800
     0.452840    0.061476
     0.437777    0.062131
     0.422708    0.062771
     0.407676    0.063391
     0.392708    0.063974
     0.377786    0.064503
     0.362870    0.064972
     0.347923    0.065386
     0.332957    0.065760
     0.318042    0.066087
     0.303196    0.066345
     0.288387    0.066522
     0.273629    0.066614
     0.258956    0.066603
     0.244375    0.066469
     0.229902    0.066189
     0.215530    0.065740
     0.201281    0.065108
     0.187200    0.064262
     0.173238    0.063164
     0.159371    0.061807
     0.145650    0.060181
     0.132089    0.058260
     0.118688    0.056025
     0.105469    0.053464
     0.092488    0.050570
     0.079835    0.047335
     0.067607    0.043746
     0.055929    0.039800
     0.044959    0.035520
     0.034977    0.031020
     0.026363    0.026529
     0.019399    0.022310
     0.014047    0.018499
     0.010006    0.015140
     0.006951    0.012263
     0.004654    0.009766
     0.002943    0.007527
     0.001683    0.005484
     0.000788    0.003600
     0.000227    0.001842
     0.000007    0.000197
     0.000149   -0.001400
     0.000723   -0.002987
     0.001750   -0.004482
     0.003208   -0.005826
     0.005103   -0.006953
     0.007475   -0.007810
     0.010405   -0.008413
     0.014079   -0.008818
     0.018839   -0.009046
     0.025224   -0.009067
     0.033884   -0.008777
     0.045212   -0.008097
     0.058537   -0.007111
     0.072782   -0.005918
     0.087425   -0.004573
     0.102274   -0.003155
     0.117194   -0.001686
     0.132149   -0.000188
     0.147094    0.001345
     0.162071    0.002909
     0.177049    0.004495
     0.192058    0.006109
     0.207101    0.007732
     0.222132    0.009355
     0.237120    0.010964
     0.252077    0.012542
     0.267017    0.014089
     0.281914    0.015592
     0.296804    0.017043
     0.311712    0.018451
     0.326607    0.019814
     0.341489    0.021122
     0.356393    0.022381
     0.371302    0.023594
     0.386192    0.024755
     0.401090    0.025860
     0.415999    0.026917
     0.430884    0.027920
     0.445745    0.028859
     0.460615    0.029732
     0.475484    0.030545
     0.490321    0.031289
     0.505147    0.031954
     0.519988    0.032545
     0.534823    0.033065
     0.549634    0.033504
     0.564456    0.033859
     0.579318    0.034139
     0.594202    0.034355
     0.609093    0.034505
     0.623999    0.034594
     0.638907    0.034625
     0.653797    0.034594
     0.668681    0.034497
     0.683566    0.034335
     0.698429    0.034108
     0.713266    0.033806
     0.728099    0.033428
     0.742909    0.032973
     0.757678    0.032434
     0.772430    0.031802
     0.787157    0.031077
     0.801829    0.030253
     0.816464    0.029314
     0.831054    0.028262
     0.845559    0.027083
     0.859995    0.025759
     0.874335    0.024288
     0.888534    0.022644
     0.902595    0.020808
     0.916440    0.018766
     0.930035    0.016482
     0.943201    0.013980
     0.955568    0.011246
     0.966960    0.008190
     0.977394    0.004698
     0.986906    0.000786
     0.995233   -0.003328
     1.000000   -0.006096
