MID 322 (c)Slobodan Midic for Re numbers from  80k up to 400k
     1.000000    0.000784
     0.993487    0.001862
     0.980401    0.003993
     0.964770    0.006530
     0.948280    0.009195
     0.931589    0.011881
     0.914858    0.014562
     0.898120    0.017233
     0.881376    0.019892
     0.864630    0.022541
     0.847884    0.025178
     0.831136    0.027804
     0.814387    0.030418
     0.797646    0.033020
     0.780948    0.035600
     0.764315    0.038132
     0.747706    0.040607
     0.731113    0.043022
     0.714544    0.045367
     0.697980    0.047639
     0.681419    0.049834
     0.664851    0.051952
     0.648281    0.053993
     0.631723    0.055949
     0.615166    0.057818
     0.598603    0.059596
     0.582016    0.061289
     0.565409    0.062902
     0.548833    0.064430
     0.532281    0.065855
     0.515729    0.067178
     0.499193    0.068396
     0.482664    0.069499
     0.466125    0.070491
     0.449597    0.071370
     0.433077    0.072130
     0.416572    0.072768
     0.400087    0.073275
     0.383594    0.073650
     0.367096    0.073897
     0.350609    0.074015
     0.334150    0.074000
     0.317763    0.073839
     0.301414    0.073511
     0.285075    0.073017
     0.268771    0.072353
     0.252501    0.071515
     0.236301    0.070495
     0.220176    0.069275
     0.204129    0.067847
     0.188190    0.066192
     0.172369    0.064297
     0.156700    0.062138
     0.141177    0.059694
     0.125856    0.056949
     0.110767    0.053877
     0.095975    0.050458
     0.081559    0.046668
     0.067639    0.042490
     0.054409    0.037942
     0.042211    0.033093
     0.031473    0.028107
     0.022676    0.023344
     0.015981    0.019113
     0.011081    0.015489
     0.007504    0.012385
     0.004870    0.009686
     0.002928    0.007281
     0.001522    0.005088
     0.000578    0.003049
     0.000083    0.001128
     0.000033   -0.000680
     0.000478   -0.002503
     0.001539   -0.004248
     0.003225   -0.005808
     0.005481   -0.007247
     0.008355   -0.008676
     0.012050   -0.010128
     0.016921   -0.011621
     0.023494   -0.013187
     0.032377   -0.014741
     0.043924   -0.016169
     0.057710   -0.017358
     0.072842   -0.018265
     0.088646   -0.018918
     0.104788   -0.019358
     0.121117   -0.019619
     0.137595   -0.019735
     0.154143   -0.019732
     0.170754   -0.019620
     0.187419   -0.019413
     0.204152   -0.019127
     0.220927   -0.018782
     0.237731   -0.018380
     0.254581   -0.017936
     0.271441   -0.017457
     0.288330   -0.016943
     0.305253   -0.016409
     0.322188   -0.015860
     0.339144   -0.015298
     0.356113   -0.014732
     0.373081   -0.014161
     0.390045   -0.013591
     0.407009   -0.013029
     0.423976   -0.012470
     0.440921   -0.011920
     0.457857   -0.011384
     0.474789   -0.010862
     0.491711   -0.010358
     0.508653   -0.009870
     0.525600   -0.009381
     0.542549   -0.008880
     0.559511   -0.008370
     0.576479   -0.007854
     0.593457   -0.007333
     0.610439   -0.006812
     0.627416   -0.006293
     0.644376   -0.005778
     0.661329   -0.005274
     0.678277   -0.004780
     0.695211   -0.004298
     0.712136   -0.003833
     0.729050   -0.003387
     0.745952   -0.002964
     0.762849   -0.002565
     0.779731   -0.002193
     0.796604   -0.001853
     0.813471   -0.001546
     0.830324   -0.001273
     0.847168   -0.001041
     0.864001   -0.000849
     0.880823   -0.000703
     0.897635   -0.000604
     0.914436   -0.000555
     0.931216   -0.000558
     0.947943   -0.000618
     0.964462   -0.000735
     0.980115   -0.000901
     0.993248   -0.001082
     1.000000   -0.001204
