NACA-1 COWL
1.000000 1.000000
0.980000 0.999800
0.960000 0.999300
0.940000 0.998500
0.920000 0.996500
0.900000 0.994000
0.880000 0.990900
0.860000 0.987400
0.840000 0.983300
0.820000 0.978700
0.800000 0.973500
0.780000 0.967900
0.760000 0.961600
0.740000 0.954800
0.720000 0.947500
0.700000 0.939500
0.680000 0.931100
0.660000 0.922000
0.640000 0.912300
0.620000 0.902000
0.600000 0.891100
0.580000 0.879500
0.560000 0.867300
0.540000 0.854500
0.520000 0.841000
0.500000 0.826900
0.490000 0.819900
0.480000 0.812500
0.470000 0.805000
0.460000 0.797400
0.450000 0.789500
0.440000 0.781500
0.430000 0.773200
0.420000 0.764800
0.410000 0.756300
0.400000 0.747500
0.390000 0.738500
0.380000 0.729400
0.370000 0.720000
0.360000 0.710500
0.350000 0.700800
0.340000 0.690800
0.330000 0.680700
0.320000 0.670300
0.310000 0.659700
0.300000 0.648900
0.290000 0.637900
0.280000 0.626700
0.270000 0.615200
0.260000 0.603500
0.250000 0.591500
0.240000 0.579200
0.230000 0.566600
0.220000 0.553700
0.210000 0.540500
0.200000 0.527000
0.190000 0.513100
0.180000 0.498800
0.170000 0.484000
0.160000 0.468800
0.150000 0.453000
0.140000 0.436600
0.130000 0.419400
0.120000 0.400900
0.110000 0.381500
0.100000 0.361300
0.090000 0.340300
0.080000 0.318100
0.070000 0.294700
0.060000 0.270100
0.050000 0.243600
0.045000 0.229600
0.040000 0.214800
0.035000 0.199400
0.030000 0.183100
0.025000 0.165700
0.020000 0.147200
0.015000 0.127200
0.010000 0.103800
0.008000 0.093300
0.006000 0.081200
0.004000 0.066300
0.002000 0.048000
0.000000 0.000000
