RAF-48 AIRFOIL
1.000000 0.000000
0.950000 0.010050
0.900000 0.019500
0.800000 0.040200
0.700000 0.060500
0.600000 0.079400
0.500000 0.093800
0.400000 0.102000
0.300000 0.104000
0.200000 0.095300
0.150000 0.086300
0.100000 0.073000
0.075000 0.063900
0.050000 0.052000
0.025000 0.036500
0.012500 0.026000
0.000000 0.000000
0.012500 -0.016500
0.025000 -0.023400
0.050000 -0.031600
0.075000 -0.036900
0.100000 -0.040300
0.150000 -0.044100
0.200000 -0.045800
0.300000 -0.045600
0.400000 -0.043300
0.500000 -0.039000
0.600000 -0.033600
0.700000 -0.026500
0.800000 -0.018300
0.900000 -0.010000
0.950000 -0.006400
1.000000 0.000000
