SOKOLOV AIRFOIL
1.0000000 0.0070000
0.9500000 0.0185500
0.9000000 0.0301000
0.8000000 0.0492000
0.7000000 0.0663000
0.6000000 0.0804000
0.5000000 0.0905000
0.4000000 0.0956000
0.3000000 0.0922000
0.2500000 0.0882500
0.2000000 0.0818000
0.1500000 0.0708500
0.1000000 0.0584000
0.0750000 0.0496800
0.0500000 0.0389500
0.0250000 0.0252300
0.0125000 0.0161100
0.0000000 0.0000000
0.0125000 -.0078900
0.0250000 -.0087700
0.0500000 -.0070500
0.0750000 -.0053300
0.1000000 -.0011000
0.1500000 0.0053500
0.2000000 0.0113000
0.2500000 0.0172500
0.3000000 0.0227000
0.4000000 0.0326000
0.5000000 0.0385000
0.6000000 0.0384000
0.7000000 0.0343000
0.8000000 0.0252000
0.9000000 0.0141000
0.9500000 0.0070500
1.0000000 0.0000000
