S9033 (7.5%)
    1.000000  0.000000
    0.999190  0.000010
    0.996780  0.000080
    0.992820  0.000250
    0.987340  0.000530
    0.980410  0.000940
    0.972090  0.001470
    0.962420  0.002090
    0.951430  0.002770
    0.939140  0.003490
    0.925570  0.004260
    0.910760  0.005090
    0.894750  0.005980
    0.877590  0.006930
    0.859340  0.007950
    0.840060  0.009030
    0.819800  0.010170
    0.798640  0.011370
    0.776630  0.012630
    0.753840  0.013930
    0.730340  0.015290
    0.706200  0.016690
    0.681510  0.018150
    0.656340  0.019630
    0.630780  0.021130
    0.604910  0.022640
    0.578780  0.024130
    0.552490  0.025600
    0.526090  0.027050
    0.499690  0.028440
    0.473330  0.029780
    0.447100  0.031050
    0.421080  0.032240
    0.395330  0.033340
    0.369930  0.034330
    0.344930  0.035210
    0.320420  0.035970
    0.296470  0.036590
    0.273120  0.037050
    0.250430  0.037350
    0.228470  0.037490
    0.207300  0.037460
    0.186970  0.037220
    0.167510  0.036800
    0.148980  0.036180
    0.131440  0.035360
    0.114900  0.034300
    0.099390  0.033020
    0.084930  0.031540
    0.071590  0.029840
    0.059370  0.027900
    0.048240  0.025760
    0.038250  0.023440
    0.029450  0.020940
    0.021820  0.018210
    0.015280  0.015320
    0.009880  0.012350
    0.005680  0.009340
    0.002690  0.006180
    0.000760  0.002990
    0.000000  0.000000
    0.000760 -0.002990
    0.002690 -0.006180
    0.005680 -0.009340
    0.009880 -0.012350
    0.015280 -0.015320
    0.021820 -0.018210
    0.029450 -0.020940
    0.038250 -0.023440
    0.048240 -0.025760
    0.059370 -0.027900
    0.071590 -0.029840
    0.084930 -0.031540
    0.099390 -0.033020
    0.114900 -0.034300
    0.131440 -0.035360
    0.148980 -0.036180
    0.167510 -0.036800
    0.186970 -0.037220
    0.207300 -0.037460
    0.228470 -0.037490
    0.250430 -0.037350
    0.273120 -0.037050
    0.296470 -0.036590
    0.320420 -0.035970
    0.344930 -0.035210
    0.369930 -0.034330
    0.395330 -0.033340
    0.421080 -0.032240
    0.447100 -0.031050
    0.473330 -0.029780
    0.499690 -0.028440
    0.526090 -0.027050
    0.552490 -0.025600
    0.578780 -0.024130
    0.604910 -0.022640
    0.630780 -0.021130
    0.656340 -0.019630
    0.681510 -0.018150
    0.706200 -0.016690
    0.730340 -0.015290
    0.753840 -0.013930
    0.776630 -0.012630
    0.798640 -0.011370
    0.819800 -0.010170
    0.840060 -0.009030
    0.859340 -0.007950
    0.877590 -0.006930
    0.894750 -0.005980
    0.910760 -0.005090
    0.925570 -0.004260
    0.939140 -0.003490
    0.951430 -0.002770
    0.962420 -0.002090
    0.972090 -0.001470
    0.980410 -0.000940
    0.987340 -0.000530
    0.992820 -0.000250
    0.996780 -0.000080
    0.999190 -0.000010
    1.000000  0.000000
