E230  (9.96%)                
   1.00000  0.00000
   0.99657 -0.00018
   0.98632 -0.00059
   0.96935 -0.00078
   0.94605 -0.00028
   0.91713  0.00117
   0.88330  0.00351
   0.84515  0.00660
   0.80327  0.01032
   0.75825  0.01449
   0.71067  0.01896
   0.66113  0.02354
   0.61019  0.02806
   0.55840  0.03235
   0.50634  0.03627
   0.45455  0.03968
   0.40355  0.04245
   0.35387  0.04447
   0.30597  0.04566
   0.26032  0.04594
   0.21733  0.04528
   0.17740  0.04365
   0.14085  0.04106
   0.10801  0.03757
   0.07914  0.03323
   0.05449  0.02814
   0.03424  0.02241
   0.01853  0.01620
   0.00744  0.00975
   0.00107  0.00351
   0.00045 -0.00235
   0.00566 -0.00858
   0.01567 -0.01534
   0.03028 -0.02212
   0.04937 -0.02861
   0.07283 -0.03460
   0.10048 -0.03994
   0.13213 -0.04449
   0.16753 -0.04819
   0.20639 -0.05099
   0.24838 -0.05286
   0.29313 -0.05382
   0.34021 -0.05392
   0.38916 -0.05322
   0.43946 -0.05178
   0.49060 -0.04967
   0.54202 -0.04698
   0.59317 -0.04378
   0.64349 -0.04018
   0.69243 -0.03626
   0.73944 -0.03213
   0.78397 -0.02789
   0.82552 -0.02364
   0.86359 -0.01947
   0.89769 -0.01549
   0.92740 -0.01177
   0.95228 -0.00830
   0.97219 -0.00503
   0.98712 -0.00225
   0.99667 -0.00054
   1.00000  0.00000
