Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
1.084548698,42.28700624,-70.94552751,1628.046271,1599.135742,112.1100006,199,0.149722063,8.448616982,7.418447018,0
1.894638072,42.28572177,-70.94607351,1622.414572,1593.500488,112.7600021,198.3000031,0.264182017,7.344918728,6.870052814,22
2.890304322,42.28474319,-70.94650515,1618.333304,1589.416504,112.8000031,198.3999939,0.37881127,5.292158127,5.302354336,23
3.898934738,42.28376485,-70.94694435,1614.217371,1585.297852,112.8099976,198.3000031,0.493061852,4.660759926,4.448504448,23
4.894212863,42.28278689,-70.94737031,1607.317252,1578.39502,112.8799973,198.1999969,0.60601615,4.540790081,4.398195744,23
5.896023019,42.28181989,-70.94779086,1601.006457,1572.081543,112.8399963,198.1000061,0.718740987,4.50813961,4.408452034,25
6.896531664,42.28085733,-70.94822081,1592.865578,1563.937988,112.8600006,198.1000061,0.831955541,4.304545403,4.201343536,25
7.895555153,42.27988853,-70.94864411,1585.607524,1556.677246,112.9499969,197.8999939,0.945908519,4.135856152,3.926972389,25
8.899551195,42.27891382,-70.94907187,1578.263062,1549.330078,112.8899994,198.1000061,1.059064971,3.991467476,3.756125689,24
9.898046351,42.27794709,-70.94950146,1571.424806,1542.489136,112.9100037,198,1.17156977,3.872913361,3.636485338,24
10.90229526,42.27698398,-70.94992048,1564.75951,1535.821167,113,197.8999939,1.285212495,3.816090345,3.554311037,25
11.89860333,42.27600953,-70.95033696,1557.881716,1528.940674,113.0299988,197.8999939,1.398477264,3.859870195,3.625174999,25
12.89967276,42.27504039,-70.95076079,1550.647102,1521.703369,113.0899963,197.8999939,1.511051763,3.790092468,3.529876471,23
13.90236927,42.27407622,-70.9511781,1543.943844,1514.997437,113.1100006,197.8999939,1.624136771,3.790092468,3.397115469,23
14.89944354,42.27310779,-70.95159777,1536.807249,1507.858154,113.1100006,198,1.737000378,3.790092468,3.376187086,23
15.89933812,42.27214355,-70.95202616,1530.382074,1501.430298,113.1800003,198.1000061,1.850923786,3.790092468,3.213086843,23
16.90191666,42.27116877,-70.95245241,1523.933853,1494.97937,113.1800003,198.1000061,1.964638688,3.790092468,3.068193436,22
17.90415218,42.27019516,-70.9528753,1517.558137,1488.600952,113.2300034,198,2.077895201,3.790092468,3.042160511,22
18.89931822,42.26922634,-70.9533001,1510.934852,1481.974976,113.1999969,198,2.191291931,3.790092468,3.004007578,22
19.90244499,42.26825659,-70.95372654,1504.114061,1475.151489,113.3099976,198,2.304896267,3.790092468,2.959925413,23
20.90168077,42.26728363,-70.95414775,1497.239076,1468.273804,113.25,198,2.418051348,3.790092468,2.759068012,24
21.89794588,42.26631732,-70.95457893,1490.519109,1461.551147,113.2600021,198,2.531201819,3.790092468,2.830099344,24
22.89865103,42.26534813,-70.95499795,1483.439157,1454.468506,113.3099976,197.8999939,2.644182188,3.790092468,2.876007557,25
23.89837332,42.26437944,-70.95541227,1476.641185,1447.667847,113.3600006,197.8999939,2.757840818,3.790092468,2.696126223,25
24.89864687,42.2634059,-70.95583317,1469.308926,1440.332886,113.3700027,197.8000031,2.871763323,3.790092468,2.54662776,25
25.89927801,42.26243205,-70.95626319,1462.056508,1433.077759,113.3799973,197.8000031,2.985359359,3.790092468,2.5,24
26.89911239,42.26145932,-70.956685,1454.534552,1425.553101,113.3600006,197.6999969,3.099044183,3.790092468,2.5,24
27.8985453,42.26048438,-70.95710098,1447.853174,1418.869019,113.4199982,197.8000031,3.212626386,3.790092468,2.5,24
28.90485572,42.2595104,-70.95751692,1440.82426,1411.837402,113.4700012,197.6000061,3.325875985,3.790092468,2.5,24
29.89920702,42.25854046,-70.95793668,1434.070606,1405.081055,113.3899994,197.8000031,3.439444813,3.790092468,2.5,24
30.9068041,42.2575647,-70.95834437,1427.670232,1398.677979,113.3700027,197.6999969,3.552870173,3.790092468,2.5,25
31.89890738,42.25659286,-70.9587631,1420.507526,1391.512573,113.3899994,197.6999969,3.666445286,3.790092468,2.5,25
32.89747051,42.25561811,-70.95917542,1414.077489,1385.079834,113.3199997,197.8000031,3.779393812,3.790092468,2.5,25
33.90717061,42.25465009,-70.95959125,1407.354591,1378.354248,113.3399963,197.6999969,3.892956782,3.790092468,2.5,24
34.89938478,42.25367638,-70.96000753,1400.645502,1371.642456,113.2600021,197.8000031,4.006055403,3.790092468,2.5,24
35.89882092,42.25270734,-70.96042503,1394.207154,1365.201416,113.2300034,197.8000031,4.119465594,3.790092468,2.5,24
36.90315316,42.25173558,-70.96084346,1387.111709,1358.103271,113.2699966,197.8000031,4.232588536,3.790092468,2.5,23
37.90279671,42.25076668,-70.96126251,1380.287863,1351.276733,113.1699982,197.6999969,4.345692416,3.790092468,2.5,24
